business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
VAGNA GARAGE,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 96354 37095,N/A,4.9,,"Junput Rd, Kumarpur, Jagannathpur, Contai, Dakshin Rampur, West Bengal 721402","Kumarpur, Jagannathpur",21.7720906,87.7499217,ChIJXwu080knAzoR5xi0dLFuWfA,https://www.google.com/maps/place/?q=place_id:ChIJXwu080knAzoR5xi0dLFuWfA,part_323,2026-09-20 20:17:25
Arman auto Care,Car Repair Workshop and Garage,Auto bodywork mechanic,Auto bodywork mechanic,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 98833 58729,N/A,4.6,,"Barjora, West Bengal 722202",721449,23.431313,87.28545989999999,ChIJ6z3tfQB19zkRIX-BCDyFQiY,https://www.google.com/maps/place/?q=place_id:ChIJ6z3tfQB19zkRIX-BCDyFQiY,part_323,2026-09-20 20:17:25
RADHA KRISHNA BIKE POINT,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 92428 24529,N/A,5.0,,"Rod Patibandh, 567f Patibandh, Kultikri - Hatigeriya Rd, near by Bus Stand, Rod, West Bengal 721135",Rod,22.1639215,87.2230527,ChIJmZdBXyE_HToRKoYNVwxq55Y,https://www.google.com/maps/place/?q=place_id:ChIJmZdBXyE_HToRKoYNVwxq55Y,part_323,2026-09-20 20:17:25
Azmer Motor Engineering Work,Car Repair Workshop and Garage,Engine Rebuilding Service Station,Engine Rebuilding Service Station,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 99327 92862,N/A,4.9,,"NH 116B, near kharagpur bypass, near CCLMS-Hotel Management College, Padmapukuria, Contai, West Bengal 721401",Padmapukuria,21.7843528,87.73664869999999,ChIJWdmTfWcnAzoRBBsOMkgb7Tc,https://www.google.com/maps/place/?q=place_id:ChIJWdmTfWcnAzoRBBsOMkgb7Tc,part_323,2026-09-20 20:17:25
GoMechanic - SAMANTA AUTO GARAGE,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto air conditioning service, Auto bodywork mechanic, Auto Dent Removal Service Station, Auto electrical service, Auto painting, Car wash, Insurance broker, Oil change service",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 93199 26699,https://srd1.onelink.me/7EYj/GMB,3.5,,"Contai Bypass Rd, Ajodhyapur, Padmapukuria, Contai, West Bengal 721401","Ajodhyapur, Padmapukuria",21.7866918,87.7402654,ChIJUTJXirknAzoR6LqTUi6lpvY,https://www.google.com/maps/place/?q=place_id:ChIJUTJXirknAzoR6LqTUi6lpvY,part_323,2026-09-20 20:17:25
SINGHA AUTO CARE,Car Repair Workshop and Garage,Auto parts store,"Auto parts store, Bike wash, Car wash, Drivers license training school, Driving test center, Gift wrap store, Motorcycle parts store, Garage, Service Apartment, Sticker Manufacturer",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 97339 67712,N/A,4.8,,"Jagannathpur Rd, Jagannathpur, Contai, Durgapur, West Bengal 721402",Jagannathpur,21.7657137,87.743172,ChIJpXrUud8nAzoRH4IIL1Gur7U,https://www.google.com/maps/place/?q=place_id:ChIJpXrUud8nAzoRH4IIL1Gur7U,part_323,2026-09-20 20:17:25
TAJ ENTERPRISE (Amaron authorised dealer contai),Car Repair Workshop and Garage,Car battery store,Car battery store,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 70984 86177,N/A,5.0,,"Contai Bypass Rd, West, Kanthi, Contai, West Bengal 721401","West, Kanthi",21.787305,87.7489367,ChIJJcJdNgAnAzoRqP-hHAentMw,https://www.google.com/maps/place/?q=place_id:ChIJJcJdNgAnAzoRqP-hHAentMw,part_323,2026-09-20 20:17:25
CAR REPAIRING,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 98366 34514,N/A,4.9,,"Subhas Block, Manikpur, Harinavi, Rajpur Sonarpur, West Bengal 700148","Manikpur, Harinavi",22.412221,88.416173,ChIJhb3nJP9tAjoRnG_17Fb2d9k,https://www.google.com/maps/place/?q=place_id:ChIJhb3nJP9tAjoRnG_17Fb2d9k,part_323,2026-09-20 20:17:25
R Star Auto Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 62965 59485,N/A,2.0,,"Usthi Road Netra Realgate, Netra, West Bengal 743368",721449,22.2057045,88.2555754,ChIJJ5hAQtNdAjoRYMB8EKbDFg4,https://www.google.com/maps/place/?q=place_id:ChIJJ5hAQtNdAjoRYMB8EKbDFg4,part_323,2026-09-20 20:17:25
Das Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 93826 30367,N/A,,,"Shop No 9 Majida Belerhat Road Rukuspur, near Kali Mandir, Majida, Purbasthali, West Bengal 713512",721449,23.5319406,88.31531729999999,ChIJgYihsfUF-TkRX-V9DODo9UU,https://www.google.com/maps/place/?q=place_id:ChIJgYihsfUF-TkRX-V9DODo9UU,part_323,2026-09-20 20:17:25
