business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Smart Network Mobile Store Bankura,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Mobile home supply store, Mobile phone repair shop, Oldsmobile dealer",722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 70017 33372,https://www.facebook.com/bankuramobilestore/,5.0,,"Veer Savarkar Saranai, near India cycle house, near New Benarash Misthanna Bhandar, Bankura, West Bengal 722101",722183,23.2332577,87.0721293,ChIJFwb1Eqyl9zkRmdDIjTaUFn8,https://www.google.com/maps/place/?q=place_id:ChIJFwb1Eqyl9zkRmdDIjTaUFn8,part_325,2026-09-20 20:17:44,4068
Utility Mobile,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Mobile phone repair shop",722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 99324 81595,N/A,4.0,,"Ward No. 2, sree Durga market, Near poddarpara, Napit gali, Kalyani, West Bengal 722101",722183,23.2346066,87.0701121,ChIJX6mq64yl9zkRw7u4c9ydL7o,https://www.google.com/maps/place/?q=place_id:ChIJX6mq64yl9zkRw7u4c9ydL7o,part_325,2026-09-20 20:17:44,4069
Sajgoj Mobile & Electronics,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Electronics store",722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 74777 84051,N/A,4.3,,"Bishnupur College Road, Kabiraj Para, Bishnupur, West Bengal 722122",Kabiraj Para,23.0726412,87.315643,ChIJbwnBD-KT9zkRGNyvSxdXjkA,https://www.google.com/maps/place/?q=place_id:ChIJbwnBD-KT9zkRGNyvSxdXjkA,part_325,2026-09-20 20:17:44,4070
Pal Electronics,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store, Electronics store, Television repair service",722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 98002 91887,N/A,5.0,,"Pal Electronics, Maynapur, West Bengal 722138",722183,23.0068004,87.4830151,ChIJh-E1oBWL9zkRGiUTu0uXAMw,https://www.google.com/maps/place/?q=place_id:ChIJh-E1oBWL9zkRGiUTu0uXAMw,part_325,2026-09-20 20:17:44,4071
Mi Store - Gita Enterprises,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, ATV dealer",722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 89183 26548,https://local.mi.com/?sid=MSIN275060,4.9,,"Subhas Rd, Bankura, West Bengal 722101",722183,23.2336128,87.0709498,ChIJB8-aVwel9zkRpoMEyAcdgu8,https://www.google.com/maps/place/?q=place_id:ChIJB8-aVwel9zkRpoMEyAcdgu8,part_325,2026-09-20 20:17:44,4072
Raju Mobile Repairing Centre,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 96798 26935,https://youtube.com/@rajunewtech,4.6,,"6QWV+93V, Uttarpairachali, West Bengal 722136",722183,23.245786199999998,86.7931385,ChIJp6iP605R9jkRsN2W_Npfk2g,https://www.google.com/maps/place/?q=place_id:ChIJp6iP605R9jkRsN2W_Npfk2g,part_325,2026-09-20 20:17:44,4073
Saurav Electronics,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 70018 19504,N/A,4.3,,"G.P. Singha road, Hareswar mela,, Bankura, West Bengal 722101",722183,23.233615999999998,87.0737448,ChIJ4QuvjJKl9zkRWTWKIENbeVU,https://www.google.com/maps/place/?q=place_id:ChIJ4QuvjJKl9zkRWTWKIENbeVU,part_325,2026-09-20 20:17:44,4074
Techkart Mobile & Electronics,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 91266 36813,N/A,4.5,,"Netaji Subhas Road, Municipality Para, Kabiraj Para, Bishnupur, West Bengal 722122","Municipality Para, Kabiraj Para",23.0711889,87.3155084,ChIJWQdveQCT9zkRdY9VDL4D2EQ,https://www.google.com/maps/place/?q=place_id:ChIJWQdveQCT9zkRdY9VDL4D2EQ,part_325,2026-09-20 20:17:44,4075
Akash Mobile Repair,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 70471 32552,N/A,5.0,,"Kamar Danga, Onda, West Bengal 722144",722183,23.1483171,87.20498219999999,ChIJU_EYZ0K99zkRBDn_QCPE_L8,https://www.google.com/maps/place/?q=place_id:ChIJU_EYZ0K99zkRBDn_QCPE_L8,part_325,2026-09-20 20:17:44,4076
DREAM MOBILE AND ELECTRONICS,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 89449 11553,N/A,5.0,,"Jemua, Mejia, West Bengal 722143",722183,23.5593324,87.07839469999999,ChIJw2he9cUR9zkR7Dj7zRi1Nwc,https://www.google.com/maps/place/?q=place_id:ChIJw2he9cUR9zkR7Dj7zRi1Nwc,part_325,2026-09-20 20:17:44,4077
SKB TRADERS a complete mobile shop,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Mobile phone repair shop",722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 97341 24125,N/A,4.9,,"6PQ4+R59 More, Aranghata - Duttaphulia Rd, opp. Boys School, Duttapulia, West Bengal 741504",722183,23.2396358,88.7055797,ChIJMVWgI4DR-DkRfyfaC4p1n-8,https://www.google.com/maps/place/?q=place_id:ChIJMVWgI4DR-DkRfyfaC4p1n-8,part_325,2026-09-20 20:17:44,4078
Mobile repairing,Mobile Phone Sales and Repair,Cell phone accessory store,Cell phone accessory store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 70319 05549,N/A,,,"Paddapukur Palli, Bankura, West Bengal 722101",Paddapukur Palli,23.247125099999998,87.0508139,ChIJUbAu-Q-v9zkRiUEyBDozr4s,https://www.google.com/maps/place/?q=place_id:ChIJUbAu-Q-v9zkRiUEyBDozr4s,part_325,2026-09-20 20:17:44,4079
RMRS (RANVEER MOBILE REPAIR SERVICE),Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Data recovery service, Electronics repair shop, Phone repair service, Repair service, Screen repair service",722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 99055 90145,https://rmrs-ranveer-mobile.grexa.site/,5.0,,"GROUND FLOOR , HOTEL MASTIFF BUILDING ,MATKURIYA ROAD NEW MARKET , BANK MORE CENTRE POINT MALL KE BAGAL WALE BUILDING ME, above CANARA BANK, Dhanbad, Jharkhand 826007",Bank More,23.788232999999998,86.4172621,ChIJp4rcAqCj9jkRNT8tTvyUKC4,https://www.google.com/maps/place/?q=place_id:ChIJp4rcAqCj9jkRNT8tTvyUKC4,part_325,2026-09-20 20:17:44,4080
