business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SHEETAL UNISEX PARLOUR,Salon,Beauty Parlour,"Beauty Parlour, Hair salon, Spa",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 97331 10575,https://www.facebook.com/sheetal.pramanik.7?mibextid=ZbWKwL,4.9,772.0,"Chanchal, Khelanpur, West Bengal 732123",732139,25.393575,88.0034689,ChIJMVuixsjE-jkRqfNMbsTZ5LA,https://www.google.com/maps/place/?q=place_id:ChIJMVuixsjE-jkRqfNMbsTZ5LA,part_327,2026-09-20 20:17:31
The great barber unisex salon,Salon,Beauty Parlour,"Beauty Parlour, Tanning salon",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 90608 33455,N/A,4.6,7.0,"hospital, road, Samsi, West Bengal 732139",732139,25.278965,88.0136303,ChIJc5IVuhfd-jkRAwwaxBWwKBc,https://www.google.com/maps/place/?q=place_id:ChIJc5IVuhfd-jkRAwwaxBWwKBc,part_327,2026-09-20 20:17:31
Angarag Beauty Salon,Salon,Beauty Parlour,Beauty Parlour,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 81451 34177,N/A,5.0,1.0,"Station Rd, Samsi, West Bengal 732139",732139,25.2769674,88.01010869999999,ChIJpZLoxmjD-jkRx4xKeEUB9Pg,https://www.google.com/maps/place/?q=place_id:ChIJpZLoxmjD-jkRx4xKeEUB9Pg,part_327,2026-09-20 20:17:31
সাগরের সেলুন,Salon,Hair salon,Hair salon,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.6,5.0,"6X9V+FCM, Kankot, West Bengal 732139",732139,25.2187068,87.9935316,ChIJyUiACq7p-jkRny9Hlz-YPAA,https://www.google.com/maps/place/?q=place_id:ChIJyUiACq7p-jkRny9Hlz-YPAA,part_327,2026-09-20 20:17:31
Rahul salon,Salon,Hair salon,Hair salon,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,5.0,1.0,"72H6+PM4, Samsi, West Bengal 732139",732139,25.27927,88.0117104,ChIJp9x7KQDD-jkRSXwwJHTk4Gw,https://www.google.com/maps/place/?q=place_id:ChIJp9x7KQDD-jkRSXwwJHTk4Gw,part_327,2026-09-20 20:17:31
DEV HAIR SALON,Salon,Barber shop,Barber shop,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,https://www.instagram.com/devhairsalon_?igsh=cTBvM2hhbWIxZGtp,4.9,11.0,"Allahabad Bank building, Ratua, West Bengal 732205",732139,25.2003614,87.9252824,ChIJ2Rx6_Avr-jkRHtkTOorWXM8,https://www.google.com/maps/place/?q=place_id:ChIJ2Rx6_Avr-jkRHtkTOorWXM8,part_327,2026-09-20 20:17:31
"Joy Bharat Saloon, Chanchal",Salon,Beauty Parlour,"Beauty Parlour, Hairdresser",732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 89723 01537,N/A,4.2,5.0,"Youth Club Market, Chanchal, Boalia, West Bengal 732139",732139,25.345062199999997,87.97579789999999,ChIJp1fxWsrE-jkR6kmsQFLVXBg,https://www.google.com/maps/place/?q=place_id:ChIJp1fxWsrE-jkR6kmsQFLVXBg,part_327,2026-09-20 20:17:31
Retro Meraaki Unisex Salon,Salon,Beauty Parlour,Beauty Parlour,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 82070 72044,https://retromeraaki.com/,4.8,360.0,"More, Toward, Gour Road, Police Lines, Malda, West Bengal 732103",Mokdumpur,24.9906687,88.1424009,ChIJ6zFiyHA0F2QRrca6tv3UrmA,https://www.google.com/maps/place/?q=place_id:ChIJ6zFiyHA0F2QRrca6tv3UrmA,part_327,2026-09-20 20:17:31
Elegant Beauty Salon,Salon,Beauty Parlour,Beauty Parlour,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",N/A,N/A,4.4,5.0,"College Road, opposite Side Of Market Basket, Chanchal, West Bengal 732123",732139,25.3906481,88.01087179999999,ChIJmazWKx7F-jkRgLF68PNDWI4,https://www.google.com/maps/place/?q=place_id:ChIJmazWKx7F-jkRgLF68PNDWI4,part_327,2026-09-20 20:17:31
Itika's Makeover & Beauty Salon,Salon,Beauty Parlour,Beauty Parlour,732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO",+91 83469 27942,https://www.facebook.com/itika.roy.545,5.0,45.0,"92W7+78Q, Rabindrapally, Thanapara, Chanchal, West Bengal 732123","Rabindrapally, Thanapara",25.3957171,88.0133511,ChIJKdc9MgDb-jkRG2aGLwDLWK4,https://www.google.com/maps/place/?q=place_id:ChIJKdc9MgDb-jkRG2aGLwDLWK4,part_327,2026-09-20 20:17:31
