business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jai Cab Trips - Car rental in Siliguri,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Car leasing service, Sightseeing Tour Operator, Taxi service, Tour operator, Travel agency",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 70471 64188,https://jaicabtrips.com/,4.7,161.0,"Zilla Parishad Rd, opposite Aura Aid Pharmay, Jyoti Nagar, Bankim Nagar, Siliguri, West Bengal 734001","Jyoti Nagar, Bankim Nagar",26.7390173,88.44763239999999,ChIJu5edIjVB5DkR1Zfpjqd1j-4,https://www.google.com/maps/place/?q=place_id:ChIJu5edIjVB5DkR1Zfpjqd1j-4,part_328,2026-09-20 20:17:26
Royal Route Cab Service,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency, Tour operator, Travel agency",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 75019 96789,https://royalroutecabs.com/,4.9,90.0,"Ward 46, Champasari, Siliguri, West Bengal 734003","Ward 46, Champasari",26.7451156,88.4170208,ChIJV9fwJDFB5DkRbFnC_-ROJKE,https://www.google.com/maps/place/?q=place_id:ChIJV9fwJDFB5DkRbFnC_-ROJKE,part_328,2026-09-20 20:17:26
Car Rental Siliguri,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency, Tour operator, Travel agency",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 97332 22567,https://www.carrentalsiliguri.com/,4.6,267.0,"3rd Floor, Vyom Sachitra, 3C, Pranami Mandir Rd, Ward 40, Haidar Para, Siliguri, West Bengal 734001","Ward 40, Haidar Para",26.7269559,88.4315823,ChIJYUk5PC1B5DkRHZWmizSZSrE,https://www.google.com/maps/place/?q=place_id:ChIJYUk5PC1B5DkRHZWmizSZSrE,part_328,2026-09-20 20:17:26
Attari car service,Taxi Service and Car Rental,Car leasing service,"Car leasing service, Car rental agency, Taxi service, Tour operator, Travel agency",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 97751 21246,https://www.attaricarservice.com/,4.9,429.0,"Snehaneer Building, Burdwan Rd, near Seth Srilal Market, Ward 4, Mahananda Para, Siliguri, West Bengal 734001","Ward 4, Mahananda Para",26.7164887,88.4197128,ChIJXQoLskFB5DkRWyu0aCvNEZQ,https://www.google.com/maps/place/?q=place_id:ChIJXQoLskFB5DkRWyu0aCvNEZQ,part_328,2026-09-20 20:17:26
Holiday Cab Service,Taxi Service and Car Rental,Car rental agency,Car rental agency,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 86092 51181,https://holidaycabservices.com/,4.8,100.0,"Tea Auction Rd, Ward 46, Pradhan Nagar, Mallaguri, Siliguri, West Bengal 734003","Ward 46, Pradhan Nagar",26.7365243,88.40907229999999,ChIJ37OKGJVB5DkRJ7zq1lDYAOI,https://www.google.com/maps/place/?q=place_id:ChIJ37OKGJVB5DkRJ7zq1lDYAOI,part_328,2026-09-20 20:17:26
Go Eazy Cab Service,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Taxi service, Tour operator, Travel agency",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 80169 16969,https://www.goeazycab.com/,4.8,263.0,"1 no, Ward 22, Dabgram, Siliguri, West Bengal 734001","Ward 22, Dabgram",26.7048976,88.44034239999999,ChIJZdvBF0pB5DkRlgvfP4P0WrE,https://www.google.com/maps/place/?q=place_id:ChIJZdvBF0pB5DkRlgvfP4P0WrE,part_328,2026-09-20 20:17:26
Siliguri Cabs Taxi,Taxi Service and Car Rental,Car rental agency,Car rental agency,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 90640 67506,https://siliguricabs.taxi/,4.1,11.0,"Co-operative Super Market, Siliguri Rd, Ward 3, Gurung Basti, Hill Cart Road, Siliguri, West Bengal 734003","Ward 3, Gurung Basti",26.7246538,88.4165584,ChIJ74ysrBV5xm4R0pWvdRyNfqI,https://www.google.com/maps/place/?q=place_id:ChIJ74ysrBV5xm4R0pWvdRyNfqI,part_328,2026-09-20 20:17:26
Hill point cab service,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Taxi service, Travel agency",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 94763 70500,https://hillpointcab.com/,4.9,39.0,"Hill view lodge, NJP Railway Sta Rd, opp. HDFC bank, near =, Babupara, City, Siliguri, West Bengal 734004",Babupara,26.692705999999998,88.4360396,ChIJMeSJCfVD5DkRrt62fQMAwSo,https://www.google.com/maps/place/?q=place_id:ChIJMeSJCfVD5DkRrt62fQMAwSo,part_328,2026-09-20 20:17:26
Siliguri.Taxi,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Car leasing service, Taxi service",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 97333 22255,https://siliguri.taxi/,4.5,185.0,"2/17 Nivedita Rd By Ln, Ward 2, Pradhan Nagar, Siliguri, West Bengal 734003","Ward 2, Pradhan Nagar",26.7326466,88.41781859999999,ChIJOQwXOB6s-6YRN0JuVkKYX_o,https://www.google.com/maps/place/?q=place_id:ChIJOQwXOB6s-6YRN0JuVkKYX_o,part_328,2026-09-20 20:17:26
swapna cab service,Taxi Service and Car Rental,Car rental agency,Car rental agency,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 75489 23068,http://swapnacabservice.com/,4.0,110.0,"Eastern Bypass, Ghogomali, Siliguri, West Bengal 734006",Ghogomali,26.7185624,88.4555518,ChIJv1NJEL5B5DkR5yvoo0i0AJU,https://www.google.com/maps/place/?q=place_id:ChIJv1NJEL5B5DkR5yvoo0i0AJU,part_328,2026-09-20 20:17:26
