business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Atoms academy (JEE ADVANCE , & NEET) cbse ,icsc , wb COACHING CENTER",NEET and JEE Coaching Center,Education center,Education center,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 89006 52655,N/A,5.0,67.0,"Krishanu Dey Sarani Rd, Ward 26, Babupara, Siliguri, West Bengal 734004","Ward 26, Babupara",26.7009723,88.42748929999999,ChIJZ3mStldB5DkRY4XT3hg016Q,https://www.google.com/maps/place/?q=place_id:ChIJZ3mStldB5DkRY4XT3hg016Q,part_328,2026-09-20 20:17:37
(Class 11 12 (jee and neet coaching center)),NEET and JEE Coaching Center,Educational institution,Educational institution,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,5.0,2.0,"Krishanu Dey Sarani Rd, Ward 26, Babupara, Siliguri, West Bengal 734004","Ward 26, Babupara",26.7007279,88.4275471,ChIJcXCn9fBB5DkRhFU4isyHIro,https://www.google.com/maps/place/?q=place_id:ChIJcXCn9fBB5DkRhFU4isyHIro,part_328,2026-09-20 20:17:37
"Aakash Institute - Best NEET & IIT-JEE Coaching in Siliguri, Sevoke Road",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 88000 13151,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-siliguri-sevoke-road-coaching-center-sevoke-road-ind-wb-siliguri-99605/Home?utm_source=locator&utm_medium=googleplaces,4.4,600.0,"2nd Mile, Shanti Tower, 3rd & 4th Floor, Sevoke Rd, above Citi Style, Ward 43, Dasrath Pally, Bhanu Nagar, Siliguri, West Bengal 734001","Ward 43, Dasrath Pally, Bhanu Nagar",26.734202699999997,88.4328081,ChIJ5yApuBRB5DkRmj2FLAE2x_Y,https://www.google.com/maps/place/?q=place_id:ChIJ5yApuBRB5DkRmj2FLAE2x_Y,part_328,2026-09-20 20:17:37
Doctor's Zone | NEET / AIIMS / IIT-JEE / FOUNDATION,NEET and JEE Coaching Center,Education center,Education center,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 83918 59066,http://www.doctorszone.in/,3.6,122.0,"Medical, Sannyashi Mandir, More, Siliguri, Bara Mohansingh, West Bengal 734012",734003,26.696392399999997,88.36986689999999,ChIJh1okQwVB5DkR4-Lu4iCZtfA,https://www.google.com/maps/place/?q=place_id:ChIJh1okQwVB5DkR4-Lu4iCZtfA,part_328,2026-09-20 20:17:37
NEET COACHING SILIGURI | IIT-JEE | WB-JEE,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 90464 56756,https://www.facebook.com/crashcrouseforboardexam/?modal=admin_todo_tour,4.0,2.0,"Haiderpara Main Rd, near Epicenter Institute, Ward 40, Haidar Para, Siliguri, West Bengal 734001","Ward 40, Haidar Para",26.7278399,88.43841069999999,ChIJldWFQkNB5DkRoLsqjiUqA6M,https://www.google.com/maps/place/?q=place_id:ChIJldWFQkNB5DkRoLsqjiUqA6M,part_328,2026-09-20 20:17:37
ALLEN Career Institute - Siliguri,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational institution",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 95137 84242,http://www.allen.ac.in/siliguri/?utm_source=Organic&utm_medium=GMB,4.6,310.0,"Tradium Complex, Checkpost, Sevoke Rd, Chayan Para, Siliguri, West Bengal 734008",Chayan Para,26.750688099999998,88.4395139,ChIJlfqUElpB5DkRpOhre8jgT4k,https://www.google.com/maps/place/?q=place_id:ChIJlfqUElpB5DkRpOhre8jgT4k,part_328,2026-09-20 20:17:37
PW Vidyapeeth - Siliguri,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational consultant, Educational institution, Learning center, Private Tutor, Studying center, Training center, Tutoring service",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 80 4568 2078,https://www.pw.live/offline-centres/batches/vidyapeeth/siliguri-wb/siliguri-vidyapeeth-800148,4.6,928.0,"Panitanki More, 3rd, 4th & 5th Floor, Sky Star Building, Sevoke Rd, Siliguri, West Bengal 734001","Ward 10, Janta Nagar",26.7224477,88.42762139999999,ChIJUTdGqjBB5DkRGHjvkfxuJoM,https://www.google.com/maps/place/?q=place_id:ChIJUTdGqjBB5DkRGHjvkfxuJoM,part_328,2026-09-20 20:17:37
MOMENTUM COACHING CENTRE,NEET and JEE Coaching Center,Education center,Education center,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 96477 80578,N/A,4.9,146.0,"Dagapur, Siliguri, Bara Gharia, West Bengal 734002",Dagapur,26.7480457,88.3945844,ChIJKaX8nipH5DkRmuesVVa80mM,https://www.google.com/maps/place/?q=place_id:ChIJKaX8nipH5DkRmuesVVa80mM,part_328,2026-09-20 20:17:37
Chemistry Dot Com,NEET and JEE Coaching Center,Coaching Center,Coaching Center,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,4.8,187.0,"Shivam Apartment, Balaidas chatterjee road, pin, opp. CBI offc, near matri sangha janakalyan ashram, College Para, Hakim Para, Siliguri, West Bengal 734001","College Para, Hakim Para",26.7128214,88.42990569999999,ChIJraqqbXpB5DkR2VBfsAxBXlA,https://www.google.com/maps/place/?q=place_id:ChIJraqqbXpB5DkR2VBfsAxBXlA,part_328,2026-09-20 20:17:37
Brilliant Coaching,NEET and JEE Coaching Center,Educational institution,Educational institution,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 73845 02111,https://www.brilliantcoaching.in/,5.0,15.0,"Gyan Jyoti more, Pintal Village Rd, Dagapur, Siliguri, Bara Gharia, West Bengal 734010",Dagapur,26.744967499999998,88.3936839,ChIJgV49CGE53WsRnkaJPsahTgA,https://www.google.com/maps/place/?q=place_id:ChIJgV49CGE53WsRnkaJPsahTgA,part_328,2026-09-20 20:17:37
