business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kalsons distributors,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,5.0,1.0,"PC4F+XF6, Nehru Rd, Ward 8, Khalpara, Siliguri, West Bengal 734005","Ward 8, Khalpara",26.7074081,88.42365389999999,ChIJ4ZlCKgBB5DkR0DRF_6PPSGI,https://www.google.com/maps/place/?q=place_id:ChIJ4ZlCKgBB5DkR0DRF_6PPSGI,part_328,2026-09-20 20:17:12
PARASHAR DISTRIBUTORS,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,4.0,3.0,"398, Mangturam Rd, Ward 8, Khalpara, Siliguri, West Bengal 734005","Ward 8, Khalpara",26.708057,88.4237048,ChIJqRlsjnNB5DkR_br9pKyCCf0,https://www.google.com/maps/place/?q=place_id:ChIJqRlsjnNB5DkR_br9pKyCCf0,part_328,2026-09-20 20:17:12
Arya FMCG Group,FMCG Distributor,FMCG Manufacturer,FMCG Manufacturer,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,5.0,3.0,"Jagadish Chandra, 11, Jagadish Bhattacharya Sarani, Hakim Para, Siliguri, West Bengal 734001",Hakim Para,26.7161111,88.4334787,ChIJF7gIgzBB5DkRf_GoXFXHH5s,https://www.google.com/maps/place/?q=place_id:ChIJF7gIgzBB5DkRf_GoXFXHH5s,part_328,2026-09-20 20:17:12
Sara Distributors,FMCG Distributor,FMCG Goods Wholesaler,"FMCG Goods Wholesaler, Wholesale grocer",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,5.0,1.0,"PCGM+3CX, Shiv Mandir Rd, Ward 13, Punjabi Para, Siliguri, West Bengal 734001","Ward 13, Punjabi Para",26.7252902,88.4336593,ChIJwTWVVEdB5DkR4ijPfXg282o,https://www.google.com/maps/place/?q=place_id:ChIJwTWVVEdB5DkR4ijPfXg282o,part_328,2026-09-20 20:17:12
Vohra & Sons,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 86175 17348,N/A,4.7,3.0,"Coca Cola Godown, near Ice Factory Road, opposite Kali Mandir, Indrapally, Champasari, Siliguri, West Bengal 734003","Indrapally, Champasari",26.7459825,88.41306039999999,ChIJgSALAAFB5DkRoCNV3zJtbzQ,https://www.google.com/maps/place/?q=place_id:ChIJgSALAAFB5DkRoCNV3zJtbzQ,part_328,2026-09-20 20:17:12
J.P. Enterprises,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,4.3,38.0,"House Ward, no 5, J.P, Nehru Rd, opposite Hanuman Mandir, Ward 7, Vidya Sagar Pally, Khalpara, Siliguri, West Bengal 734005","Ward 7, Vidya Sagar Pally, Khalpara",26.7075139,88.4197094,ChIJT5VR7EJB5DkRlYL_3IbR-Uk,https://www.google.com/maps/place/?q=place_id:ChIJT5VR7EJB5DkRlYL_3IbR-Uk,part_328,2026-09-20 20:17:12
FMCG DISTRIBUTOR FOOD PRODUCTS,FMCG Distributor,FMCG Distributor,FMCG Distributor,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,5.0,1.0,"P9CR+4QJ, Old Matigara Rd, Matigarahat, Siliguri, West Bengal 734010",734003,26.7203357,88.39189069999999,ChIJ1-_-KcZG5DkR9YW-y_pnTJ8,https://www.google.com/maps/place/?q=place_id:ChIJ1-_-KcZG5DkR9YW-y_pnTJ8,part_328,2026-09-20 20:17:12
GUPTA TRADERS,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,5.0,13.0,"HIMALYAN SCHOOL ROAD, Eastern Bypass, near BHANESWAR MORE, Bankim Nagar, Siliguri, West Bengal 734001",Bankim Nagar,26.7347248,88.4571574,ChIJE2ENr2hB5DkR1QWvhrgTSn4,https://www.google.com/maps/place/?q=place_id:ChIJE2ENr2hB5DkR1QWvhrgTSn4,part_328,2026-09-20 20:17:12
M/S. Atmaram Agarwal,FMCG Distributor,FMCG Goods Wholesaler,"FMCG Goods Wholesaler, Wholesaler",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 353 250 0436,N/A,5.0,2.0,"128, Nehru Road, Khalpara, Siliguri, West Bengal 734005","Ward 8, Khalpara",26.7074374,88.4244191,ChIJbwBh6WhB5DkRrgjpZqO5nYA,https://www.google.com/maps/place/?q=place_id:ChIJbwBh6WhB5DkRrgjpZqO5nYA,part_328,2026-09-20 20:17:12
Balaji Sales,FMCG Distributor,FMCG Goods Wholesaler,"FMCG Goods Wholesaler, Wholesaler",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98324 89786,N/A,4.0,1.0,"Agrasen Rd, Ward 9, Khalpara, Siliguri, West Bengal 734005","Ward 9, Khalpara",26.7058707,88.42215829999999,ChIJY4hEC2hB5DkRC1kMAtrX-5E,https://www.google.com/maps/place/?q=place_id:ChIJY4hEC2hB5DkRC1kMAtrX-5E,part_328,2026-09-20 20:17:12
