business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Klan Couture,Tailor and Fashion Designer,Men's clothing store,"Men's clothing store, Custom tailor, Fabric store, Clothing Accessories Store, Formal Clothing Store, Gents Tailor, Tuxedo shop",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 97335 23000,http://www.klancouture.com/,4.8,,"First floor, Sevoke Rd, above Ather space, opposite Vishal Cinema, Ward Number 13, Bankim Nagar, Siliguri, West Bengal 734001","Ward Number 13, Bankim Nagar",26.731981299999998,88.4321671,ChIJ91dTxyZB5DkRwdTzXgjwXbc,https://www.google.com/maps/place/?q=place_id:ChIJ91dTxyZB5DkRwdTzXgjwXbc,part_328,2026-09-20 20:17:17
Saanvi's the dream couture,Tailor and Fashion Designer,Clothing supplier,Clothing supplier,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 81169 67606,N/A,4.9,,"9, Agrasen Rd, near champion tailor, Ward 9, Khalpara, Siliguri, West Bengal 713005","Ward 9, Khalpara",26.7055901,88.42044419999999,ChIJX6O0w2BB5DkRjwrL-q-BlBw,https://www.google.com/maps/place/?q=place_id:ChIJX6O0w2BB5DkRjwrL-q-BlBw,part_328,2026-09-20 20:17:17
Nikita Sinhal Boutique,Tailor and Fashion Designer,Fashion designer,Fashion designer,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98324 18421,N/A,4.3,,"Planet Mall, Sevoke Rd, Ward 41, Don Bosco Colony, Siliguri, West Bengal 734001","Ward 41, Don Bosco Colony",26.739414399999998,88.4355628,ChIJCUh3DmVB5DkRA9b3WLLri3c,https://www.google.com/maps/place/?q=place_id:ChIJCUh3DmVB5DkRA9b3WLLri3c,part_328,2026-09-20 20:17:17
Fancy Fair Tailor,Tailor and Fashion Designer,Gents Tailor,Gents Tailor,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98320 65155,N/A,4.3,,"Sarkar Mansion, Hill Cart Rd, Ward 6, Siliguri, West Bengal 734001",Ward 6,26.713687699999998,88.4234834,ChIJ_-ShsmtB5DkRngNguXDzMrk,https://www.google.com/maps/place/?q=place_id:ChIJ_-ShsmtB5DkRngNguXDzMrk,part_328,2026-09-20 20:17:17
New Style Khan Tailor,Tailor and Fashion Designer,Tailor,"Tailor, Clothing manufacturer",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 353 257 6376,N/A,4.7,,"Shop no-32 Basement, City Centre, Ujanu P, Siliguri, West Bengal 734010",Ujanu P,26.7246238,88.3939467,ChIJSfHHMRNH5DkR3cquIEloNhM,https://www.google.com/maps/place/?q=place_id:ChIJSfHHMRNH5DkR3cquIEloNhM,part_328,2026-09-20 20:17:17
The Dress Code Couture,Tailor and Fashion Designer,Men's clothing store,"Men's clothing store, Clothes and fabric wholesaler, Clothing store, Custom tailor, Designer Clothing Store, Fabric store, Clothing Accessories Store, Tuxedo shop, Uniform store, Wedding store",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 77977 79768,https://thedresscodesiliguri.com/,4.8,,"1st Floor, Goyal Plaza, Sevoke Rd, Ward 43, Dasrath Pally, Bhanu Nagar, Siliguri, West Bengal 734003","Ward 43, Dasrath Pally, Bhanu Nagar",26.7358712,88.4326233,ChIJySFfHgBB5DkRUth3keUcWug,https://www.google.com/maps/place/?q=place_id:ChIJySFfHgBB5DkRUth3keUcWug,part_328,2026-09-20 20:17:17
Babli's Creation Ladies Tailor,Tailor and Fashion Designer,Tailor,Tailor,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 90020 19992,N/A,5.0,,"Uttarapan Market Complex, F-20, Ward 1, Patiram Jote, Siliguri, West Bengal 734003","Ward 1, Patiram Jote",26.7279542,88.41333879999999,ChIJFYhxt_VB5DkRWAq9wSjJ8HU,https://www.google.com/maps/place/?q=place_id:ChIJFYhxt_VB5DkRWAq9wSjJ8HU,part_328,2026-09-20 20:17:17
Disha Tailors,Tailor and Fashion Designer,Tailor,Tailor,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 81720 06997,N/A,3.0,,"14, Tarapada Rd, Ward 38, Ghogomali, Siliguri, West Bengal 734006","Ward 38, Ghogomali",26.7195941,88.4471243,ChIJlQdaL4ZB5DkR1RzLdK4age4,https://www.google.com/maps/place/?q=place_id:ChIJlQdaL4ZB5DkR1RzLdK4age4,part_328,2026-09-20 20:17:17
Smart land tailor,Tailor and Fashion Designer,Tailor,Tailor,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 79087 10154,N/A,5.0,,"BM Sarani Rd, Ward 6, Mahananda Para, Siliguri, West Bengal 734001","Ward 6, Mahananda Para",26.7129358,88.42232419999999,ChIJW2AlMABB5DkRdeGh2Ux1A8g,https://www.google.com/maps/place/?q=place_id:ChIJW2AlMABB5DkRdeGh2Ux1A8g,part_328,2026-09-20 20:17:17
Sanchita Tailor,Tailor and Fashion Designer,Tailor,Tailor,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 90645 53949,N/A,5.0,,"Ward 35, Bhaktinagar sahit colony, Dabgram, Siliguri, West Bengal 734007","Ward 35, Bhaktinagar sahit colony, Dabgram",26.692076399999998,88.44165029999999,ChIJ5zLQrHFD5DkRQBrgcoJrIuk,https://www.google.com/maps/place/?q=place_id:ChIJ5zLQrHFD5DkRQBrgcoJrIuk,part_328,2026-09-20 20:17:17
