business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
ACM-GROUP Construction Materials,Waterproofing Contractor,Waterproofing service,Waterproofing service,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 91277 55001,N/A,4.8,35.0,"Ward No. - 15, Pakurtala More, House No. 21/4, Nazrul Sarani, Ward 38, Rabindra Sarani, Siliguri, West Bengal 734001","Ward 38, Rabindra Sarani",26.715799099999998,88.4342262,ChIJcaQ5Cx1B5DkRmsDmrW1tb4A,https://www.google.com/maps/place/?q=place_id:ChIJcaQ5Cx1B5DkRmsDmrW1tb4A,part_328,2026-09-20 20:17:31,3572
JJ Works Private Limited,Waterproofing Contractor,Waterproofing service,Waterproofing service,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98000 20839,http://www.jjworks.org/,,,"MILESTONE BUILDING, Nimbu Basti, Siliguri, West Bengal 734008",Nimbu Basti,26.7485352,88.4374167,ChIJax6sNaZB5DkRQWVpsqDffV0,https://www.google.com/maps/place/?q=place_id:ChIJax6sNaZB5DkRQWVpsqDffV0,part_328,2026-09-20 20:17:31,3573
STARLEAK INFRASTRUCTURE PRIVATE LIMITED,Waterproofing Contractor,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Civil engineering company, Electrical installation service, Electrical substation, Flooring contractor, Petrol Pump, Interior fitting contractor, Mechanical engineer, Road Contractor, Waterproofing service",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 62019 37618,https://starleak-infrastructure.grexa.site/,4.4,16.0,"Pramod Nagar, Sevoke Rd, Ward 42, Bhaktinagar, Siliguri, West Bengal 734008","Ward 42, Bhaktinagar",26.748996599999998,88.4310174,ChIJE7zDohRB5DkRNudFHjzkSQs,https://www.google.com/maps/place/?q=place_id:ChIJE7zDohRB5DkRNudFHjzkSQs,part_328,2026-09-20 20:17:31,3574
Gupta Water Solutions,Waterproofing Contractor,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Swimming pool contractor, Waterproofing service",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,5.0,2.0,"89/B, Nivedita Rd, Ward 2, Pradhan Nagar, Siliguri, West Bengal 734003","Ward 2, Pradhan Nagar",26.731907999999997,88.4172538,ChIJ0Uy3DABB5DkRBlL8F2EcvrM,https://www.google.com/maps/place/?q=place_id:ChIJ0Uy3DABB5DkRBlL8F2EcvrM,part_328,2026-09-20 20:17:31,3575
Sika Shop,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Construction Material Wholesaler",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98323 10260,https://ind.sika.com/,5.0,6.0,"Aawaas Home Solutions, Sevoke Road, More Oposite, near Post Office Building, Axix Bank, Siliguri, West Bengal 734001","Ward 10, Axix Bank, Janta Nagar",26.7257392,88.42923239999999,ChIJvcLpPQBB5DkRBrg1jy8t4jY,https://www.google.com/maps/place/?q=place_id:ChIJvcLpPQBB5DkRBrg1jy8t4jY,part_328,2026-09-20 20:17:31,3576
SOGYAN INSUCON,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Insulation materials store",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 90830 47000,N/A,5.0,1.0,"Pranami Mandir Rd, Ward 13, Punjabi Para, Siliguri, West Bengal 734001","Ward 13, Punjabi Para",26.7266537,88.43197359999999,ChIJm6B2ulVB5DkR29OzXePVtfg,https://www.google.com/maps/place/?q=place_id:ChIJm6B2ulVB5DkR29OzXePVtfg,part_328,2026-09-20 20:17:31,3577
Tirupati Overseas (Fosroc / Weber Siliguri),Waterproofing Contractor,Waterproofing service,"Waterproofing service, Chemical wholesaler, Construction Material Wholesaler, Ready mix concrete supplier",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 95478 69900,N/A,5.0,9.0,"Upper Ground Floor, Morya Building, opp. Laddoo Gopal, Ward 42, Salugara, Siliguri, West Bengal 734008","Ward 42, Salugara",26.7651567,88.44442029999999,ChIJf1JwCWpB5DkRblAv7CM_NM0,https://www.google.com/maps/place/?q=place_id:ChIJf1JwCWpB5DkRblAv7CM_NM0,part_328,2026-09-20 20:17:31,3578
Dr. Fixit - Buildkraft,Waterproofing Contractor,Waterproofing service,Waterproofing service,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 70013 73133,https://stores.drfixit.co.in/dr-fixit-buildkraft-buildkraft-waterproofing-company-hakim-para-siliguri-583437/Home?utm_source=locator&utm_medium=googleplaces,,,"Ground Floor, Sports Library Park, WN 17, Ashutosh Mukherjee Rd, behind Udayan, Ward 17, Hakim Para, Siliguri, West Bengal 734001","Ward 17, Hakim Para",26.7110497,88.4292318,ChIJkW_5Dc5B5DkR3h0uhS9RD6U,https://www.google.com/maps/place/?q=place_id:ChIJkW_5Dc5B5DkR3h0uhS9RD6U,part_328,2026-09-20 20:17:31,3579
Sika Shop,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Construction Material Wholesaler",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 94761 56050,https://ind.sika.com/,,,"Modern Impex, Eastern Bypass, near Ashigarh More, Ward 42, Siliguri, West Bengal 734006",Ward 42,26.75172,88.43835,ChIJPUheFbtB5DkRkaOzfK4HOxs,https://www.google.com/maps/place/?q=place_id:ChIJPUheFbtB5DkRkaOzfK4HOxs,part_328,2026-09-20 20:17:31,3580
D&P Services (Industrial Epoxy and PU Flooring),Waterproofing Contractor,Flooring contractor,"Flooring contractor, Floor refinishing service, Waterproofing service",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98746 42648,https://dnpservices.in/,,,"150, Sevoke Rd, opposite Punjab National Bank, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Ward 11, Hakim Para",26.7159907,88.4232799,ChIJe0xO1vRB5DkRWTZfK3zZras,https://www.google.com/maps/place/?q=place_id:ChIJe0xO1vRB5DkRWTZfK3zZras,part_328,2026-09-20 20:17:31,3581
