business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Maitrayee Polyclinic, Siliguri | Pharmacy & Diagnostic Services",Polyclinic,Medical clinic,Medical clinic,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 96099 95553,https://www.maitrayeepolyclinic.com/,4.9,,"Second Mile, City Plaza, Sevoke Rd, opposite Payel Cinema Hall, Ward 40, Iskcon More, Haidar Para, Siliguri, West Bengal 734001","Ward 40, Iskcon More, Haidar Para",26.727950699999997,88.4305693,ChIJxRyaYktB5DkRIQDdnTp2gBg,https://www.google.com/maps/place/?q=place_id:ChIJxRyaYktB5DkRIQDdnTp2gBg,part_328,2026-09-20 20:17:22,1854
Kalyanjee Healthcare | Polyclinic & Diagnostics Services in Siliguri,Polyclinic,Medical clinic,"Medical clinic, Diagnostic center",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 73638 93022,N/A,5.0,,"Bhanu Nagar Bazar Rd, Lower Bhanu Nagar, Dasrath Pally, Bhanu Nagar, Siliguri, West Bengal 734001","Lower Bhanu Nagar, Dasrath Pally, Bhanu Nagar",26.736936399999998,88.4267804,ChIJDx2SQYRB5DkRGxzvwhR4ero,https://www.google.com/maps/place/?q=place_id:ChIJDx2SQYRB5DkRGxzvwhR4ero,part_328,2026-09-20 20:17:22,1855
VIVEKANANDA POLICLINIC AND DIAGNOSTIC CENTRE,Polyclinic,Diagnostic center,Diagnostic center,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 94344 66326,N/A,4.8,,"Rabindra Nagar Main Rd, near Tilak Sadhu More, Ward 38, Rabindra Sarani, Siliguri, West Bengal 734006","Ward 38, Rabindra Sarani",26.7119441,88.44489809999999,ChIJGcjg9dxB5DkRiNUCABGMgSc,https://www.google.com/maps/place/?q=place_id:ChIJGcjg9dxB5DkRiNUCABGMgSc,part_328,2026-09-20 20:17:22,1856
Siliguri Polyclinic | Best Doctors In Siliguri,Polyclinic,Medical clinic,"Medical clinic, Cardiologist, Diabetologist, Diagnostic center, Doctor, General practitioner, Gynecologist, Neurologist, Orthopedic clinic, Pediatrician, Pharmacy",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 99339 90002,N/A,3.6,,"Baghajatin Rd, Netaji more, hati more, Subhas Pally, Siliguri, West Bengal 734001","Netaji more, hati more, Subhas Pally",26.708506699999997,88.4343329,ChIJtSY653BB5DkRU7xAylhNiXU,https://www.google.com/maps/place/?q=place_id:ChIJtSY653BB5DkRU7xAylhNiXU,part_328,2026-09-20 20:17:22,1857
Polymummy - Polyclinic in Siliguri,Polyclinic,Medical Center,"Medical Center, Diagnostic center, Medical laboratory",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 90647 05419,N/A,5.0,,"3rd Floor, Vyom Sachitra, Pranami Mandir Rd, opp. Bank of India, Ward 40, Haidar Para, Siliguri, West Bengal 734001","Ward 40, Haidar Para",26.7269577,88.43165239999999,ChIJoXFF28pB5DkRuqdFG-b32Fo,https://www.google.com/maps/place/?q=place_id:ChIJoXFF28pB5DkRuqdFG-b32Fo,part_328,2026-09-20 20:17:22,1858
Bodhi's Polyclinic Siliguri,Polyclinic,Medical Center,Medical Center,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 73840 01965,https://bodhispolyclinic.com/,,,"Bidhan Rd, beside Hotel Dolly Inn, Ward 12, Hakim Para, Siliguri, West Bengal 734001","Ward 12, Hakim Para",26.7181875,88.4266854,ChIJPyzBaBJB5DkRVXu0rlHW0Ww,https://www.google.com/maps/place/?q=place_id:ChIJPyzBaBJB5DkRVXu0rlHW0Ww,part_328,2026-09-20 20:17:22,1859
Shree Krishna Polyclinic,Polyclinic,Dental clinic,"Dental clinic, Medical clinic, Pharmacy",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 96355 88976,N/A,4.0,,"Parnami Mandir Complex, Pranami Mandir Rd, Ward 40, Punjabi Para, Siliguri, West Bengal 734001","Ward 40, Punjabi Para",26.7264372,88.4356674,ChIJO2OQKglB5DkRyLNtitpYFiw,https://www.google.com/maps/place/?q=place_id:ChIJO2OQKglB5DkRyLNtitpYFiw,part_328,2026-09-20 20:17:22,1860
ASTHA POLYCLINIC AND DIAGNOSTIC CENTER,Polyclinic,Medical clinic,Medical clinic,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 93826 78346,N/A,,,"Limbu Busty, Salugara Road, Ward 42, Prakash Nagar, Siliguri, 734008","Ward 42, Prakash Nagar",26.760365999999998,88.4381475,ChIJI3tHNfRA5DkRGAXBuZDHf1k,https://www.google.com/maps/place/?q=place_id:ChIJI3tHNfRA5DkRGAXBuZDHf1k,part_328,2026-09-20 20:17:22,1861
AALL IS WELL- DOCTOR'S CARE POLYCLINIC,Polyclinic,Medical clinic,"Medical clinic, Endocrinologist, Gynecologist, Health consultant, Neonatal physician, Orthopedic surgeon, Pediatrician, Physiatrist, Psychiatrist, Pulmonologist",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 76018 44457,http://aalliswellpharmacy.in/,5.0,,"PBR Towers, Sevoke Rd, Ward 42, Don Bosco Colony, Siliguri, West Bengal 734004","Ward 42, Don Bosco Colony",26.746946899999998,88.4380183,ChIJZ0zgwaBB5DkRTdJ11h2-qew,https://www.google.com/maps/place/?q=place_id:ChIJZ0zgwaBB5DkRTdJ11h2-qew,part_328,2026-09-20 20:17:22,1862
MEDICURE DIAGNOSTIC AND POLYCLINIC,Polyclinic,Diagnostic center,Diagnostic center,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,,,"PCH9+46F, Ward 3, Pradhan Nagar, Siliguri, West Bengal 734003","Ward 3, Pradhan Nagar",26.727807799999997,88.4180623,ChIJR-FjJwBB5DkRYEMG9O9sYYk,https://www.google.com/maps/place/?q=place_id:ChIJR-FjJwBB5DkRYEMG9O9sYYk,part_328,2026-09-20 20:17:22,1863
