business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Pet clinic North Bengal,Veterinary Clinic and Pet Hospital,Emergency veterinarian service,Emergency veterinarian service,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98361 78339,N/A,4.4,108.0,"Ar vew more, Nabin Sen Rd, near veterinary hospital, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Ward 10, Janta Nagar",26.719942399999997,88.423429,ChIJy0sx91NB5DkRyX7Z4uCqS0A,https://www.google.com/maps/place/?q=place_id:ChIJy0sx91NB5DkRyX7Z4uCqS0A,part_328,2026-09-20 20:17:23,2088
Pet clinic,Veterinary Clinic and Pet Hospital,Veterinary care,Veterinary care,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 98361 78339,N/A,4.0,297.0,"Vinayak Plaza, Nivedita Rd, near Suraksha Diagnostic center, Ward 2, Pradhan Nagar, Siliguri, West Bengal 734003","Ward 2, Pradhan Nagar",26.7303575,88.4183738,ChIJLRkuESNB5DkRjKZW013ubKs,https://www.google.com/maps/place/?q=place_id:ChIJLRkuESNB5DkRjKZW013ubKs,part_328,2026-09-20 20:17:23,2089
Veterinary Clinic Siliguri,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 83898 66764,N/A,4.1,23.0,"Champasari Rd, Indrapally, Champasari, Siliguri, West Bengal 734003","Indrapally, Champasari",26.745039,88.4159274,ChIJNVUvYFJB5DkRS2vItPipl8c,https://www.google.com/maps/place/?q=place_id:ChIJNVUvYFJB5DkRS2vItPipl8c,part_328,2026-09-20 20:17:23,2090
"Siliguri Veterinary Polyclinic, Guria",Veterinary Clinic and Pet Hospital,Veterinary care,Veterinary care,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,3.8,147.0,"P9M7+J2G, Guria, West Bengal 734010",734003,26.7340712,88.3625814,ChIJsbbMAFZG5DkRVF1SMWNZgrI,https://www.google.com/maps/place/?q=place_id:ChIJsbbMAFZG5DkRVF1SMWNZgrI,part_328,2026-09-20 20:17:23,2091
Dr. Veterinary Assistant siliguri 24 ×7,Veterinary Clinic and Pet Hospital,Pet supply store,"Pet supply store, Drug store",734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 90886 60458,N/A,4.6,104.0,"Ward 2, Pradhan Nagar, Siliguri, West Bengal 734003","Ward 2, Pradhan Nagar",26.7320124,88.4192908,ChIJTcc_x4VB5DkRhVjeIe5eQoc,https://www.google.com/maps/place/?q=place_id:ChIJTcc_x4VB5DkRhVjeIe5eQoc,part_328,2026-09-20 20:17:23,2092
PETLAB (A Vet Diagnostic Centre),Veterinary Clinic and Pet Hospital,Diagnostic center,Diagnostic center,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 81589 33766,N/A,4.9,224.0,"Nabin Sen Rd, near Animal Health Veterinary Hospital, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Ward 10, Janta Nagar",26.7194406,88.42159319999999,ChIJocbbzKFB5DkRHf5dMtLEmKA,https://www.google.com/maps/place/?q=place_id:ChIJocbbzKFB5DkRHf5dMtLEmKA,part_328,2026-09-20 20:17:23,2093
Dr.Sanjib Sarkar,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 97759 15119,N/A,4.4,97.0,"3, Saktigarh Rd, near Pathagar Club, Kashmir Colony, Babupara, Siliguri, West Bengal 734007","Kashmir Colony, Babupara",26.6851131,88.4223265,ChIJ7T9ec-5D5DkRTHvbEPweSWU,https://www.google.com/maps/place/?q=place_id:ChIJ7T9ec-5D5DkRTHvbEPweSWU,part_328,2026-09-20 20:17:23,2094
Veterinary Hospital,Veterinary Clinic and Pet Hospital,Animal hospital,Animal hospital,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,N/A,3.7,218.0,"Beside Popular Book Store Nabin Sen Road Word No. 10, Janta Nagar, Siliguri, West Bengal 734001","Ward 10, Janta Nagar",26.719740599999998,88.4221282,ChIJZwRKBhVB5DkRsQOwn9OmZXM,https://www.google.com/maps/place/?q=place_id:ChIJZwRKBhVB5DkRsQOwn9OmZXM,part_328,2026-09-20 20:17:23,2095
Dr.Soham Samanta-Veterinary Doctor,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",+91 78725 89789,N/A,4.9,233.0,"Ward 2, Champasari, Siliguri, West Bengal 734003","Ward 2, Champasari",26.730360599999997,88.4183729,ChIJR4c_pVdB5DkRZhmG1S0xDgQ,https://www.google.com/maps/place/?q=place_id:ChIJR4c_pVdB5DkRZhmG1S0xDgQ,part_328,2026-09-20 20:17:23,2096
Dr Amit Sarkar Veterinary Surgeon,Veterinary Clinic and Pet Hospital,Veterinarian,Veterinarian,734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO",N/A,https://linktr.ee/dramitsarkar,4.8,934.0,"Jayguru Pharmacy, Phoenix Lodge Building, 7, Nabin Sen Rd, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Ward 10, Janta Nagar",26.7196639,88.4218482,ChIJlcRDJDFB5DkRKJoLcSnW14k,https://www.google.com/maps/place/?q=place_id:ChIJlcRDJDFB5DkRKJoLcSnW14k,part_328,2026-09-20 20:17:23,2097
