business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Perfect Printers (Printing House in Contai),Printing Press and Offset Printer,Print shop,"Print shop, Digital printing service, Offset Printer, Screen printing supply store",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 94343 21215,N/A,4.3,14.0,"Kishorenagar, Contai Kgp. Bypass, behind Lane of OLA Show Room, Contai, West Bengal 721404",Contai,21.781229399999997,87.735202,ChIJLQQ5RZknAzoRAyPen9t0wOc,https://www.google.com/maps/place/?q=place_id:ChIJLQQ5RZknAzoRAyPen9t0wOc,part_323,2026-09-20 20:17:41,4010
14 Masumin Printers Flex - Digital Print - Card - Screen Print,Printing Press and Offset Printer,Print shop,"Print shop, Banner store, Digital printing service, Offset Printer, Screen printing shop",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 62912 85159,N/A,5.0,36.0,"Sagar Club, near Unity Children KG School, Rangmahal, Dhulasimla, West Bengal 711315",721449,22.4048651,88.0873134,ChIJC2UZJMWPAjoRaXInX6-LnUE,https://www.google.com/maps/place/?q=place_id:ChIJC2UZJMWPAjoRaXInX6-LnUE,part_323,2026-09-20 20:17:42,4011
CANVAS ART & PRINT,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Bookbinder, Print shop, Rubber stamp store",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 77973 32818,N/A,4.8,27.0,"Sadichak, talda ratanchak, Dantan, West Bengal 721435",721449,21.957465,87.3757862,ChIJl21Pm4wlHToRlrena4Ju03c,https://www.google.com/maps/place/?q=place_id:ChIJl21Pm4wlHToRlrena4Ju03c,part_323,2026-09-20 20:17:42,4012
JK Printers,Printing Press and Offset Printer,Print shop,"Print shop, Banner store, Commercial printer, Digital printer, Digital printing service, Graphic designer, Offset Printer",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 79083 11620,N/A,4.9,176.0,"Aurobindo Nagar, Midnapore, West Bengal 721101",Aurobindo Nagar,22.4124041,87.3115736,ChIJzexZ_E1bHToR1sdu-W2Bcto,https://www.google.com/maps/place/?q=place_id:ChIJzexZ_E1bHToR1sdu-W2Bcto,part_323,2026-09-20 20:17:42,4013
Arihant Printers - Amaze,Printing Press and Offset Printer,Offset Printer,Offset Printer,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 33 2323 2181,http://www.arihantprinters.co.in/,4.3,85.0,"Plot No - 67 3 , Pagladanga, Main Road, Tangra, Kolkata, West Bengal 700015",Tangra,22.5572639,88.39485499999999,ChIJxQSTfiVT_xMR5ulvJiORW8k,https://www.google.com/maps/place/?q=place_id:ChIJxQSTfiVT_xMR5ulvJiORW8k,part_323,2026-09-20 20:17:42,4014
Zero Graphics,Printing Press and Offset Printer,Digital printing service,Digital printing service,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 99323 21858,https://www.zerographics.co.in/,4.3,52.0,"Thermal gate, Near, More, Mecheda, West Bengal 721137",721449,22.4116301,87.86434539999999,ChIJ4VSYkvmXAjoRdPVJQsOXiKE,https://www.google.com/maps/place/?q=place_id:ChIJ4VSYkvmXAjoRdPVJQsOXiKE,part_323,2026-09-20 20:17:42,4015
Print Corner,Printing Press and Offset Printer,Print shop,Print shop,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 62907 48573,N/A,5.0,23.0,"00, Bangalpur, West Bengal 711303",721449,22.495006999999998,87.97420749999999,ChIJaXqO-yWbAjoRU1U6lf5CkMA,https://www.google.com/maps/place/?q=place_id:ChIJaXqO-yWbAjoRU1U6lf5CkMA,part_323,2026-09-20 20:17:42,4016
INK TOWN - Customized Gift Printing Press in Midnapore | Quality Printing House | Best Printers | Largest printing network,Printing Press and Offset Printer,Print shop,"Print shop, Advertising agency, Custom t-shirt store, Desktop publishing service, Digital printing service, Neon sign shop, Offset Printer, Gift shop, Rubber stamp store, Vinyl sign shop",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 90647 18123,https://ink-town-customized-gift.grexa.site/,4.9,307.0,"5, West Ave, near MAHUA CINEMA, Bidhan Nagar East, Midnapore, West Bengal 721101",Bidhan Nagar East,22.421615799999998,87.3104237,ChIJl63h5qBFHToRB5dnCKqgqoE,https://www.google.com/maps/place/?q=place_id:ChIJl63h5qBFHToRB5dnCKqgqoE,part_323,2026-09-20 20:17:42,4017
Midnapore Creative Arts Pvt Ltd | Printing Press in Midnapore | Quality Printing House in Midnapore | Best Printers,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Digital printer, Digital printing service, 3D printing service",721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",N/A,N/A,4.3,85.0,"Mirza Bazar, Midnapore, West Bengal 721101",721449,22.412053699999998,87.3156703,ChIJsZm9XapbHToRIlt_zy5FXMc,https://www.google.com/maps/place/?q=place_id:ChIJsZm9XapbHToRIlt_zy5FXMc,part_323,2026-09-20 20:17:42,4018
Giri Printers,Printing Press and Offset Printer,Commercial printer,Commercial printer,721449,West bengal circle,South Bengal Region,Contai Division,"Banamalichatta BO, Daisai BO, Karaldanimakbarh BO",+91 3222 276 286,N/A,4.4,69.0,"F83F+XM2, Bypass Road, Khasjangal Cantonment, West Bengal 721102",721449,22.4548871,87.3241463,ChIJeSecnKBbHToR4FcvYo50pJA,https://www.google.com/maps/place/?q=place_id:ChIJeSecnKBbHToR4FcvYo50pJA,part_323,2026-09-20 20:17:42,4019
