business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sabuz Mobile & Electricals,Mobile Accessories Wholesaler,Cell phone store,"Cell phone store, Electrical products wholesaler",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 99324 19238,N/A,4.6,,"Keshpur - Kalikapur Rd, Bar Kaunri Chak, Neradaual, West Bengal 721260",721201,22.635940299999998,87.4951784,ChIJ1zrV_k3-9zkRHvnuzEoa-rg,https://www.google.com/maps/place/?q=place_id:ChIJ1zrV_k3-9zkRHvnuzEoa-rg,part_322,2026-09-20 20:17:44
Express Mobile,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 99339 96680,N/A,3.5,,"Bus Stand Road, Gach Sitala, Chandrakona, West Bengal 721201",Gach Sitala,22.7306183,87.5141361,ChIJE5YUDu749zkRugAe7OX7EPQ,https://www.google.com/maps/place/?q=place_id:ChIJE5YUDu749zkRugAe7OX7EPQ,part_322,2026-09-20 20:17:44
M C ENTERPRISE,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Cell phone store, Electronic parts supplier, Electronics repair shop, Electronics store, Mobile phone repair shop, Phone repair service, Screen repair service",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98002 80636,https://m-c-enterprise.grexa.site/,5.0,,"medinipur road, Gach Sitala, Chandrakona, West Bengal 721201",Gach Sitala,22.7278892,87.5112319,ChIJEf2oqlH59zkRNZC8q1GTEGA,https://www.google.com/maps/place/?q=place_id:ChIJEf2oqlH59zkRNZC8q1GTEGA,part_322,2026-09-20 20:17:44
Star & Company | Mobile Accessories Wholesale Shop,Mobile Accessories Wholesaler,Cell phone accessory store,"Cell phone accessory store, Computer accessories store, Wholesaler",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 96413 75655,https://www.starandcompany.in/,4.9,96.0,"Hotel Raj Biraj Building, Shop No.A4, 1st Floor ,Ghosh Brothers building ,Bidhan Market, Rishi Aurobindo Rd, Hakim Para, Siliguri, West Bengal 734001","Ward 12, Hakim Para",26.716221899999997,88.42704359999999,ChIJU0YUv2xB5DkRx9xgyhd3UvU,https://www.google.com/maps/place/?q=place_id:ChIJU0YUv2xB5DkRx9xgyhd3UvU,part_322,2026-09-20 20:17:45
Fancy Market (Mobile Accessories),Mobile Accessories Wholesaler,Cell phone accessory store,Cell phone accessory store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",N/A,N/A,4.5,180.0,"2nd Floor, smart plaza Market, 80, Mansatala Row, Five Star Market, Kidderpore, Kolkata, West Bengal 700023","Five Star Market, Kidderpore",22.5385965,88.3237927,ChIJgVkkYQB5AjoRU4-S9R-kIzM,https://www.google.com/maps/place/?q=place_id:ChIJgVkkYQB5AjoRU4-S9R-kIzM,part_322,2026-09-20 20:17:45
ZEBCOM MOBILE ACCESSORIES (MANUFACTURING & WHOLESALE),Mobile Accessories Wholesaler,Cell phone accessory store,Cell phone accessory store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 98310 22266,http://zebcom.in/,4.9,78.0,"35K, Motilal Nehru Rd, Dover Terrace, Ballygunge, Kolkata, West Bengal 700029","Dover Terrace, Ballygunge",22.5244754,88.3550035,ChIJDcQOJUZ3AjoRxA_5q0WKXws,https://www.google.com/maps/place/?q=place_id:ChIJDcQOJUZ3AjoRxA_5q0WKXws,part_322,2026-09-20 20:17:45
Mobile Accessories Corner,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 86972 11124,https://mobile-accessories.grexa.site/,4.4,197.0,"Elinna Residency, Sodepur Rd, Ward Number 6, Debighar, Madhyamgram, Kolkata, West Bengal 700129","Ward Number 6, Debighar, Madhyamgram",22.6948734,88.45856359999999,ChIJ790hYduf-DkRZy_MQAdfku0,https://www.google.com/maps/place/?q=place_id:ChIJ790hYduf-DkRZy_MQAdfku0,part_322,2026-09-20 20:17:45
Arika Mobile And Variety Store,Mobile Accessories Wholesaler,Cell phone store,"Cell phone store, Business banking service, Electrical products wholesaler, Gift shop",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 93821 88713,N/A,5.0,2.0,"Charka 8 No, Amrakuchi, Bagasol, West Bengal 721150",721201,22.5094271,87.4092647,ChIJS5H8QwBXHToRvErNA6TvYxk,https://www.google.com/maps/place/?q=place_id:ChIJS5H8QwBXHToRvErNA6TvYxk,part_322,2026-09-20 20:17:45
Nisar’s Phone Zone,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 70037 77872,N/A,4.9,245.0,"700103, Paschim Nischintapur, Boral, Rajpur Sonarpur, West Bengal 700103","Paschim Nischintapur, Boral",22.444990699999998,88.366618,ChIJ8QqNasRxAjoRs9457fwGJUc,https://www.google.com/maps/place/?q=place_id:ChIJ8QqNasRxAjoRs9457fwGJUc,part_322,2026-09-20 20:17:45
Manjushree Communication,Mobile Accessories Wholesaler,Cell phone store,Cell phone store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 91262 28020,N/A,4.5,35.0,"C89F+6Q9, Aligunj School Rd, Aligunj, Midnapore, West Bengal 721101",721201,22.4180252,87.3244737,ChIJaWvjcDdbHToREdgIYaGPWX4,https://www.google.com/maps/place/?q=place_id:ChIJaWvjcDdbHToREdgIYaGPWX4,part_322,2026-09-20 20:17:45
