business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Big mart Retail Store,Supermarket,Supermarket,Supermarket,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 79087 23134,N/A,4.2,,"63MC+VCR, GP Singha Rd, Bankura, West Bengal 722101",722183,23.2347328,87.0710024,ChIJ9eDYNR-l9zkRpgF5YUvlygE,https://www.google.com/maps/place/?q=place_id:ChIJ9eDYNR-l9zkRpgF5YUvlygE,part_325,2026-09-20 20:17:12
Reliance Smart Point,Supermarket,Grocery store,Grocery store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,N/A,https://www.jiomart.com/smart-bazaar,4.0,,"62VR+V49, 1, Katjuridanga, Bankura, West Bengal 722102",Katjuridanga,23.2450583,87.04154989999999,ChIJnQgjbAqv9zkRBmCOIBIiz8U,https://www.google.com/maps/place/?q=place_id:ChIJnQgjbAqv9zkRBmCOIBIiz8U,part_325,2026-09-20 20:17:12
Narra Bazar(s.m),Supermarket,Supermarket,Supermarket,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,N/A,N/A,4.5,,"Indas - Uchalon Rd, Jhiknara, West Bengal 722201",722183,23.0999908,87.7492238,ChIJKeJvEmY7-DkR4CBKYb_U6PE,https://www.google.com/maps/place/?q=place_id:ChIJKeJvEmY7-DkR4CBKYb_U6PE,part_325,2026-09-20 20:17:12
B Mart SuperMarket,Supermarket,Grocery store,Grocery store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 89185 55983,https://b-mart.ordereasyapp.com/,4.6,,"Natunchati, West Bengal 722155",722183,23.2533252,87.06569739999999,ChIJIfh7Kkiv9zkRDdCp1k6MhiI,https://www.google.com/maps/place/?q=place_id:ChIJIfh7Kkiv9zkRDdCp1k6MhiI,part_325,2026-09-20 20:17:12
M.S Nasib Traders,Supermarket,Supermarket,Supermarket,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,N/A,N/A,5.0,,"WFF5+6M6, Rangamate, West Bengal 722138",722183,22.9230476,87.4591506,ChIJ6Y3xZZvz9zkRkvaeJeEELS4,https://www.google.com/maps/place/?q=place_id:ChIJ6Y3xZZvz9zkRkvaeJeEELS4,part_325,2026-09-20 20:17:12
Shiv Shambhu variety store,Supermarket,Supermarket,"Supermarket, Grocery store",722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 70012 19063,N/A,5.0,,"Lokpur main road, beside baroda bank, Kankata, Bankura, West Bengal 722101",Kankata,23.2294959,87.04951559999999,ChIJ9-gleACl9zkR58CNivK-FDI,https://www.google.com/maps/place/?q=place_id:ChIJ9-gleACl9zkR58CNivK-FDI,part_325,2026-09-20 20:17:12
PAL VARIETY STORE,Supermarket,Grocery store,Grocery store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 73191 28668,N/A,4.2,,"Ichharia To Bishnupur Road Ichharia,Near Bus Stop, Ichharia, Sonamukhi, Bankura, West Bengal 722157",722183,23.2440107,87.305875,ChIJp_q1tPub9zkRvMxtgQFYNMI,https://www.google.com/maps/place/?q=place_id:ChIJp_q1tPub9zkRvMxtgQFYNMI,part_325,2026-09-20 20:17:12
Goutam Brother's,Supermarket,Grocery store,Grocery store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,+91 94340 04230,N/A,3.5,,"63M9+V2J, Chowk Bazer Ln, Bara Bazar, Bankura, West Bengal 722101",Bara Bazar,23.2347207,87.06750819999999,ChIJbVZdoIyl9zkR20sWKIeJDSk,https://www.google.com/maps/place/?q=place_id:ChIJbVZdoIyl9zkR20sWKIeJDSk,part_325,2026-09-20 20:17:12
Godardihi Voirab Than,Supermarket,Supermarket,Supermarket,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,N/A,N/A,4.4,,"976F+9JV, Gadardihi, West Bengal 722203",722183,23.360990899999997,87.27405449999999,ChIJl2lUTYh19zkRC3TARN4JhNc,https://www.google.com/maps/place/?q=place_id:ChIJl2lUTYh19zkRC3TARN4JhNc,part_325,2026-09-20 20:17:12
Deep Variety Stores,Supermarket,Grocery store,Grocery store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,N/A,N/A,5.0,,"Deep Patra, Bheduasole, West Bengal 722121",722183,23.1119707,86.9078073,ChIJsaimKVqz9zkRLphfW8ghuDk,https://www.google.com/maps/place/?q=place_id:ChIJsaimKVqz9zkRLphfW8ghuDk,part_325,2026-09-20 20:17:12
Pratima Stores,Supermarket,Grocery store,Grocery store,722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO,N/A,N/A,3.9,,"38G8+92C, Bishnupur Arambagh - Bishnupur - Patrasayer Rd, Boletala, Bishnupur, West Bengal 722122",Boletala,23.0759328,87.3150276,ChIJIZI971iR9zkRcKe3UfqIM4Q,https://www.google.com/maps/place/?q=place_id:ChIJIZI971iR9zkRcKe3UfqIM4Q,part_325,2026-09-20 20:17:12
