business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Skin and hair clinic by Dr Dk Jha,Hair Transplant Clinic,Doctor,Doctor,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 91537 32012,N/A,4.9,40.0,"rg bhawan, 63, Grand Trunk Rd, near Birhata, Perbirhata, Bardhaman, West Bengal 713103",Perbirhata,23.2323423,87.8653257,ChIJvxPB3UNJ-DkR-JrWRpwAbNU,https://www.google.com/maps/place/?q=place_id:ChIJvxPB3UNJ-DkR-JrWRpwAbNU,part_321,2026-09-20 20:17:32
"New Roots: Skin, Laser & Hair Transplant Clinic",Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Cosmetic surgeon, Dermatologist, Hair removal service, Hair replacement service, Laser hair removal service, Skin care clinic, Tattoo removal service, Transplant surgeon",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 93309 18719,https://newrootsskinhairlaser.com/hair-care/best-hair-transplant-clinic-kolkata/,4.9,2478.0,"9/2B TALBAGAN LANE, Orient Row, Park Circus, Kolkata, West Bengal 700017","Park Circus, Beniapukur",22.5418348,88.36935489999999,ChIJcyEYaXt3AjoR8e7w85RM_eY,https://www.google.com/maps/place/?q=place_id:ChIJcyEYaXt3AjoR8e7w85RM_eY,part_321,2026-09-20 20:17:32
"Dr Paul's Advanced Hair & Skin Solutions , Durgapur",Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Alternative medicine practitioner, Hair removal service, Hair replacement service, Laser hair removal service, Skin care clinic",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 70019 62700,https://www.drpaulsonline.com/,4.2,158.0,"1st Floor, Sambhu Mitra Path, near Durgapur Cinema Auto Care Building, Doctor's Colony, City Center, Durgapur, West Bengal 713216","Doctor's Colony, City Center",23.5380099,87.301659,ChIJwePYFQVy9zkRtlKW3-Zz6MY,https://www.google.com/maps/place/?q=place_id:ChIJwePYFQVy9zkRtlKW3-Zz6MY,part_321,2026-09-20 20:17:32
Calcutta Cosmo Aid,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Hair removal service, Laser hair removal service, Pediatric surgeon, Plastic surgeon, Plastic surgery clinic, Transplant surgeon, Urology clinic",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 70442 34868,http://www.cosmoaid.com/,4.9,751.0,"42 B, Harish Mukherjee Rd, Bhowanipore, Kolkata, West Bengal 700025",Bhowanipore,22.536319,88.3437996,ChIJLa-aez93AjoRm5RiGaEEcw0,https://www.google.com/maps/place/?q=place_id:ChIJLa-aez93AjoRm5RiGaEEcw0,part_321,2026-09-20 20:17:32
Hair & Skin Care,Hair Transplant Clinic,Beauty Parlour,Beauty Parlour,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 97497 65271,N/A,4.8,78.0,"144 G.T. Road Parbirhata Baronilpur More(Ground Floor HDFC Life Bulding, Purba, Bardhaman, West Bengal 713103","Purba, Perbirhata",23.2300903,87.8680737,ChIJ9zW2roNJ-DkR-8j3ZgPay-o,https://www.google.com/maps/place/?q=place_id:ChIJ9zW2roNJ-DkR-8j3ZgPay-o,part_321,2026-09-20 20:17:32
Dr. Kuntal Deb Barma | Best Hair Transplant Surgeon | Aesthetic Dermatologist,Hair Transplant Clinic,Hair transplantation clinic,Hair transplantation clinic,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",N/A,https://dhiinternational.com/certified-dhi-surgeons-dr-kuntal-deb-burma/,4.8,18.0,"Fourth Floor, Platinum House, 31, Elgin Rd, above Bikers Cafe, Gaza Park, Sreepally, Bhowanipore, Kolkata, West Bengal 700020","Gaza Park, Sreepally, Bhowanipore",22.5378012,88.3490846,ChIJxd561GZ3AjoRuPwCUuau31U,https://www.google.com/maps/place/?q=place_id:ChIJxd561GZ3AjoRuPwCUuau31U,part_321,2026-09-20 20:17:32
QHT Hair Transplant Clinic,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Dermatologist, Hair replacement service, Medical Center",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 95281 68089,http://www.qhtclinic.com/,4.8,3187.0,"Delhi-Haridwar Highway, near HP Jagat Petrol Pump, Jwalapur, Haridwar, Uttarakhand 249407",713512,29.916846099999997,78.09066969999999,ChIJDYI2KUhGCTkR6Z6IqoxnFyE,https://www.google.com/maps/place/?q=place_id:ChIJDYI2KUhGCTkR6Z6IqoxnFyE,part_321,2026-09-20 20:17:32
"Dr Batra’s Homeopathy, Hair & Skin Clinic",Hair Transplant Clinic,Homeopath,"Homeopath, Allergist, Dermatologist, Diabetologist, Endocrinologist, Fertility physician, Gastroenterologist, Pain management physician, Pediatrician, Psychologist",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 70450 00666,https://clinics.drbatras.com/bardhaman/homeopathy-clinic-sripally.php,4.5,153.0,"near Tvs Showroom, adjacent to Sanjeevni Nursing Home, Nawahat Mode, Bardhaman, Goda P, West Bengal 713104",Nawahat Mode,23.2642328,87.833607,ChIJ6cEBaPBJ-DkRgy6eSgS9qJU,https://www.google.com/maps/place/?q=place_id:ChIJ6cEBaPBJ-DkRgy6eSgS9qJU,part_321,2026-09-20 20:17:32
Dr. V. S. Rathore,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Cosmetic surgeon, Plastic surgeon, Skin care clinic",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 98316 62311,https://drvsrathore.com/,4.8,394.0,"P-158, 2nd floor, CIT Rd, Scheme VI-M, Kankurgachi, Kolkata, West Bengal 700054","Scheme VI-M, Kadapara, Phoolbagan, Kankurgachi",22.5776802,88.3912659,ChIJBdUYw292AjoRaI387Jz5BNY,https://www.google.com/maps/place/?q=place_id:ChIJBdUYw292AjoRaI387Jz5BNY,part_321,2026-09-20 20:17:32
"Oliva Skin And Hair Clinic Jodhpur Park, Kolkata: Laser Hair Removal, Acne Scar, PRP, Hair Loss, Skin Whitening Treatments",Hair Transplant Clinic,Laser hair removal service,"Laser hair removal service, Dermatologist, Hair transplantation clinic, Skin care clinic, Tattoo removal service, Weight loss service",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 89777 55436,https://www.olivaclinic.com/kolkata/skin-hair-specialists-jodhpur-park/?utm_source=BL&utm_medium=Jodhpurpark&utm_campaign=Website,4.8,1142.0,"First Floor, No 40/5, Jodhpur Park Rd, opposite ICICI Bank, Dhakuria, Selimpur, Jodhpur Park, Kolkata, West Bengal 700031","Dhakuria, Selimpur, Jodhpur Park",22.5049398,88.3673726,ChIJb8xvD1VxAjoRlbkndyEfyuM,https://www.google.com/maps/place/?q=place_id:ChIJb8xvD1VxAjoRlbkndyEfyuM,part_321,2026-09-20 20:17:32
DR.Nagwani,Hair Transplant Clinic,Surgical center,Surgical center,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 89610 44829,http://www.drnagwani.com/,5.0,68.0,"42 C, Harish Mukherjee Rd, Bhowanipore, Kolkata, West Bengal 700025",Bhowanipore,22.5362267,88.343784,ChIJITnKqDh3AjoR_xfT1zseqLs,https://www.google.com/maps/place/?q=place_id:ChIJITnKqDh3AjoR_xfT1zseqLs,part_321,2026-09-20 20:17:32
ইসমাথ সেলুন,Hair Transplant Clinic,Hair replacement service,Hair replacement service,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",N/A,N/A,,,"G9GM+5VF, Rukunpur, West Bengal 741154",713512,23.5254375,88.3846745,ChIJ5UwtYgAb-TkRJJifDUeNwug,https://www.google.com/maps/place/?q=place_id:ChIJ5UwtYgAb-TkRJJifDUeNwug,part_321,2026-09-20 20:17:32
"Hair Sure Hitech City, Hair Transplant Clinic in Hyderabad",Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Plastic surgeon, Plastic surgery clinic",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 83310 20202,http://www.hairsure.co.in/,4.9,151.0,"4th Floor, Hairsure Hair Transplant Centre, SBR Gateway, l, Hitech City Main Rd, adj. Medicover Cancer Institute, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081","HUDA Techno Enclave, HITEC City",17.4472707,78.3785304,ChIJb32-192TyzsRtC1Oa0SdGf4,https://www.google.com/maps/place/?q=place_id:ChIJb32-192TyzsRtC1Oa0SdGf4,part_321,2026-09-20 20:17:32
