business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ssw Kitchen Appliances,RO Water Purifier Sales and Service,Electronics store,"Electronics store, Kitchen supply store",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 91538 39897,http://sswkitchenappliances.com/,3.9,,"Barddhaman, Bardhaman, West Bengal 713103",Ramkrishana Pally,23.2397392,87.8726089,ChIJldQT0-pJ-DkRGDPDjhS9Grc,https://www.google.com/maps/place/?q=place_id:ChIJldQT0-pJ-DkRGDPDjhS9Grc,part_321,2026-09-20 20:17:30
FRESH AQUA RO WATER PURIFIER REPAIR SERVICE CENTER,RO Water Purifier Sales and Service,Water purification company,Water purification company,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 91466 44514,N/A,5.0,,"Pundlik Nagar Rd, Husain Colony, Nyay Nagar, Chhatrapati Sambhajinagar, Maharashtra 431009","Husain Colony, Nyay Nagar",19.8659875,75.3586059,ChIJ-6n2G26j2zsRx6c9HlhNR8Q,https://www.google.com/maps/place/?q=place_id:ChIJ-6n2G26j2zsRx6c9HlhNR8Q,part_321,2026-09-20 20:17:30
RD WATER PURIFIRES,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Repair service, Water Filter Supplier, Water softening equipment supplier",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 87670 72226,https://rdwaterpurifires.in/,4.9,,"Shop no 1, Shakuntla sankalp society ambedkar chauk, Lodha Casa Rio Gold Rd, near pizza house, Dombivli, Maharashtra 421201",Dombivli,19.161583,73.0747918,ChIJESvY4s6_5zsRQepby20Awu4,https://www.google.com/maps/place/?q=place_id:ChIJESvY4s6_5zsRQepby20Awu4,part_321,2026-09-20 20:17:30
Bangla Service,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Air conditioning repair service, Chimney services, Microwave oven repair service, Refrigerator repair service, Washer & dryer repair service",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 85097 41875,N/A,5.0,,"Shop No-742101, Neemtala Market, Gorabazar Road, Pachundi, West Bengal 713123",713512,23.718352,88.044378,ChIJwY2l32mj-TkR_OV2qxKCdCE,https://www.google.com/maps/place/?q=place_id:ChIJwY2l32mj-TkR_OV2qxKCdCE,part_321,2026-09-20 20:17:30
KALPANA HOME APPLIANCES,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 98512 05321,N/A,5.0,,"6VG5+J55, Barabalidanga, Bardhaman, West Bengal 713103",Barabalidanga,23.2265084,87.8579788,ChIJS_OKdopJ-DkR_Ay2qtN8S4A,https://www.google.com/maps/place/?q=place_id:ChIJS_OKdopJ-DkR_Ay2qtN8S4A,part_321,2026-09-20 20:17:30
Aqua RO Service,RO Water Purifier Sales and Service,Water purification company,Water purification company,713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 86553 35740,https://aquaroservice.com/,4.9,,"Gate No.3, Exit Rio, Near Green Park Gate No .5, Lodha Casa Rio Gold Rd, opposite fitness founder gym, Dombivali (E, Mumbai, Maharashtra 421204","Nilaje, Dombivali (E",19.1535935,73.0761388,ChIJawCyHmu_5zsRXxz1-AJDuhs,https://www.google.com/maps/place/?q=place_id:ChIJawCyHmu_5zsRXxz1-AJDuhs,part_321,2026-09-20 20:17:30
Livpure Authorised Shop - Purbasha Piasha Home Applinces,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Appliance store",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 83439 19360,https://store.livpure.com/livpure-authorised-shop-purbasha-piasha-home-applinces-purbasha-piasha-home-applinces-water-purification-company-baska-road-bardhaman-287803/Home,,,"Ground Floor, Baska Rd, Baska, West Bengal 713321",713512,23.5741342,87.17884079999999,ChIJldyoZs0T9zkRtqGV0l-guFY,https://www.google.com/maps/place/?q=place_id:ChIJldyoZs0T9zkRtqGV0l-guFY,part_321,2026-09-20 20:17:30
Water purifier sales & services,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Service establishment",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 98675 59282,N/A,5.0,,"Water purifier sales & services, 713512, India",713512,19.2154678,72.9947325,ChIJ2Q0FpJ295zsRYrkjeQ-uJes,https://www.google.com/maps/place/?q=place_id:ChIJ2Q0FpJ295zsRYrkjeQ-uJes,part_321,2026-09-20 20:17:30
Smart Kitchen Appliance,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Air filter supplier, Vacuum cleaner store",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 1800 100 1000,https://www.kent.co.in/,4.0,,"Belan,Golsi Thana, Burdwan, West Bangal, Bardhaman, West Bengal 713103",Perbirhata,23.2324318,87.8614917,ChIJjeNKE9FJ-DkR5ApY51gwPZU,https://www.google.com/maps/place/?q=place_id:ChIJjeNKE9FJ-DkR5ApY51gwPZU,part_321,2026-09-20 20:17:30
Pureit Water Purifier - Gita Agency,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Water Filter Supplier",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 96198 09825,https://stores-near-me.pureitwater.com/pureit-water-purifier-gita-agency-water-filter-supplier-natunpara-bardhaman-136539/Home?utm_source=locator&utm_medium=googleplaces,4.2,,"Chourangi Club, Natunpara, Baranilpur Rd, Bardhaman, West Bengal 713103",Police LIne Bazar,23.2196385,87.869422,ChIJUXJ87kdJ-DkRVAu9YlrO3PM,https://www.google.com/maps/place/?q=place_id:ChIJUXJ87kdJ-DkRVAu9YlrO3PM,part_321,2026-09-20 20:17:30
Aqua Soft Water Systems - Lodha Palava Nilje RO water purifier service center,RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Water purification company",713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO",+91 86938 70004,N/A,4.8,,"Shop no 1, Chandresh Classic, Lodha Casa Rio Gold Rd, Nilaje, Palava, Dombivali East, Kalyan, Maharashtra 421204","Nilaje, Palava, Dombivali East",19.1575453,73.0741548,ChIJc-CcIiy_5zsR23lzV-2yMCY,https://www.google.com/maps/place/?q=place_id:ChIJc-CcIiy_5zsR23lzV-2yMCY,part_321,2026-09-20 20:17:30
