business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Chowdhury Fertilizer,Fertilizer and Pesticide Dealer,Farm equipment supplier,"Farm equipment supplier, Fertilizer Store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 96794 22111,http://www.chowdhuryfertilizer.in/,3.0,2.0,"More, Barohati Para, Panbari, West Bengal 735219",Barohati Para,26.700362,88.85253499999999,ChIJfxsO1PuL4zkR-Ld8I77rAHI,https://www.google.com/maps/place/?q=place_id:ChIJfxsO1PuL4zkR-Ld8I77rAHI,part_330,2026-09-20 20:17:51,4707
ممرا ٹریڈرز اینڈ پیسٹی سائیڈ ڈیلر فورٹ عباس,Fertilizer and Pesticide Dealer,Agricultural Product Wholesaler,"Agricultural Product Wholesaler, Agricultural service",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",0315 7384108,N/A,4.8,,"بالمقابل نیو غلہ منڈی مروٹ, روڈ, وے, 64020, Pakistan",735305,29.2139462,72.8585197,ChIJT9Y2SIfHPTkRL76tNIChoF4,https://www.google.com/maps/place/?q=place_id:ChIJT9Y2SIfHPTkRL76tNIChoF4,part_330,2026-09-20 20:17:52,4708
Adarsha Krishi Bhandar,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 3561 233 912,N/A,3.9,,"নতুন বাজার, Maynaguri, West Bengal 735224",নতুন বাজার,26.5636659,88.827939,ChIJcR0fE1OG4zkR46pP-NPOc74,https://www.google.com/maps/place/?q=place_id:ChIJcR0fE1OG4zkR46pP-NPOc74,part_330,2026-09-20 20:17:52,4709
Sree Kalyan Nursery,Fertilizer and Pesticide Dealer,Pest control service,"Pest control service, Agricultural Product Wholesaler, Garden center, Organic shop, Agrochemicals Supplier",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98311 70656,https://youtube.com/@sreekalyannursery4201?si=c48yye01mgbp5Q_h,4.8,,"155, Bepin Behari Ganguly Street Near Koley Market, Sealdah, Bowbazar, Bazar New, Baithakkhana, Kolkata, West Bengal 700012","NAWAB SOAP BUILDING, Baithakkhana, Bazar New, Baithakkhana",22.5677235,88.3686822,ChIJeynFhVZ2AjoR_U2Qgck5OR4,https://www.google.com/maps/place/?q=place_id:ChIJeynFhVZ2AjoR_U2Qgck5OR4,part_330,2026-09-20 20:17:52,4710
M/s. Krishi Seva Pratisthan Pesticides Shop,Fertilizer and Pesticide Dealer,Agricultural Product Wholesaler,Agricultural Product Wholesaler,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 99322 52481,N/A,4.3,,"Ward No.19, Police Station, Near, PC Sen Rd, Arambag, West Bengal 712601",735305,22.8768279,87.79023149999999,ChIJwWMeae4T-DkRMC4xf5WxUp8,https://www.google.com/maps/place/?q=place_id:ChIJwWMeae4T-DkRMC4xf5WxUp8,part_330,2026-09-20 20:17:52,4711
Haryana Pesticides And Seeds Store,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 96712 00143,N/A,5.0,,"Bus Stand, 07, Dhakwala, Haryana 135103",735305,30.334391,77.4283994,ChIJvXIdUd8dDzkRQaqLz5k-P-k,https://www.google.com/maps/place/?q=place_id:ChIJvXIdUd8dDzkRQaqLz5k-P-k,part_330,2026-09-20 20:17:52,4712
Arun Agrochem,Fertilizer and Pesticide Dealer,Store,Store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 94347 55609,N/A,5.0,,"Maheshmati, Malda, West Bengal 732101",Maheshmati,25.0029599,88.1389789,ChIJRYagh8X9-jkRMZ4QqFgQ66Q,https://www.google.com/maps/place/?q=place_id:ChIJRYagh8X9-jkRMZ4QqFgQ66Q,part_330,2026-09-20 20:17:52,4713
Biswas fertilizer,Fertilizer and Pesticide Dealer,Shopping mall,Shopping mall,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 97341 74805,https://sites.google.com/view/biswasfertilizer/home,5.0,3.0,"Unnamed Road, Patkapara, West Bengal 736121",736101,26.5333103,89.44171329999999,ChIJ0Qv54ENT4jkRwj7hxKAv0WM,https://www.google.com/maps/place/?q=place_id:ChIJ0Qv54ENT4jkRwj7hxKAv0WM,part_330,2026-09-20 20:18:35,8646
AMIR FERTILIZER,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Wholesaler",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 81168 24875,N/A,5.0,1.0,"Baburhat, Atharajani, West Bengal 736167",Baburhat,26.0489194,89.37721479999999,ChIJkezoAkAf4zkRbyQ20b_-VFw,https://www.google.com/maps/place/?q=place_id:ChIJkezoAkAf4zkRbyQ20b_-VFw,part_330,2026-09-20 20:18:35,8647
SahaRoy Agros,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agricultural service, Agrochemicals Supplier, Garden machinery supplier, Organic farm",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 80064 31539,https://whatsapp.com/channel/0029VaAftRyLSmbX12nOb82T,5.0,,"ward no-10, p.o+p.s-MATHABHANGA, Dist. -COOCHBEHAR,PIN-736146, STATE, Mathabhanga, West Bengal 736146",Hazrahat,26.3377663,89.2079236,ChIJkTuWZooJ4zkRJn8S5QZoppw,https://www.google.com/maps/place/?q=place_id:ChIJkTuWZooJ4zkRJn8S5QZoppw,part_330,2026-09-20 20:18:36,8648
Arif fertilizer রাসায়নিক সার ক্রয় কেন্দ্র,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 62967 08819,N/A,4.9,,"Purbba Altagram, West Bengal 735210",736101,26.5817756,88.9738589,ChIJCQ_vGwCb4zkRs-goxRZiB48,https://www.google.com/maps/place/?q=place_id:ChIJCQ_vGwCb4zkRs-goxRZiB48,part_330,2026-09-20 20:18:36,8649
AGRO INDIA,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agricultural Product Wholesaler, Agrochemicals Supplier, Chemical wholesaler, Farm equipment supplier, Animal feed store, Finishing materials supplier, Garden machinery supplier, Industrial chemicals wholesaler, Agricultural Seed Store",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 94356 14440,N/A,4.9,140.0,"Seuni Ali, Assam Trunk Rd, Jorhat, Assam 785001",Borigaon,26.7639349,94.2219101,ChIJC9LhtzjDRjcRvUZD_0MMFT0,https://www.google.com/maps/place/?q=place_id:ChIJC9LhtzjDRjcRvUZD_0MMFT0,part_330,2026-09-20 20:18:37,8650
"Seed, Pesticides, Fertilizers, etc",Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 98511 38467,N/A,,,"Hospital Road, Chilkirhat Rd, Ekmukha, West Bengal 736157",736101,26.267835899999998,89.37869719999999,ChIJGZoFpzID4zkRtsI8iNN4kX0,https://www.google.com/maps/place/?q=place_id:ChIJGZoFpzID4zkRtsI8iNN4kX0,part_330,2026-09-20 20:18:37,8651
Fertilizer & pesticides Shop (Nursery),Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,5.0,1.0,"XQ9W+9QR, Chhekati, West Bengal 743245",736101,22.9685517,88.7967662,ChIJwWK2KwBL_zkRBOaMYJ6Ud9U,https://www.google.com/maps/place/?q=place_id:ChIJwWK2KwBL_zkRBOaMYJ6Ud9U,part_330,2026-09-20 20:18:37,8652
Dulichand Kundanmal,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Reptile store, Wholesaler",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,5.0,,"Dinhata Main Rd, opp. Jain Mandir, Dinhata, West Bengal 736135",736101,26.1246622,89.4651706,ChIJvwyhOPbh4jkRbesks9Naon8,https://www.google.com/maps/place/?q=place_id:ChIJvwyhOPbh4jkRbesks9Naon8,part_330,2026-09-20 20:18:37,8653
