business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Ankita'Z Makeover,Bridal Wear and Wedding Collection,Make-up artist,"Make-up artist, Bridal shop",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 79083 48745,N/A,4.9,26.0,"Station Rd, Nutan Para, Jalpaiguri, West Bengal 735101",Nutan Para,26.5198724,88.725601,ChIJXZaHXxx55DkRKKs1J3Fddzc,https://www.google.com/maps/place/?q=place_id:ChIJXZaHXxx55DkRKKs1J3Fddzc,part_330,2026-09-20 20:17:19,1049
Iccheghar,Bridal Wear and Wedding Collection,Bridal shop,Bridal shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,,,"Maynamapara, Jagriti more, Puraton Bazar, Maynaguri, West Bengal 735224","Maynamapara, Jagriti more, Puraton Bazar",26.5658799,88.8211144,ChIJkQMrhpeH4zkRYrpjFUQ8DvM,https://www.google.com/maps/place/?q=place_id:ChIJkQMrhpeH4zkRYrpjFUQ8DvM,part_330,2026-09-20 20:17:19,1050
Obsession Siliguri Christian Wedding Gown shop,Bridal Wear and Wedding Collection,Bridal shop,"Bridal shop, Dress store, Dressmaker, Wedding dress rental service, Wedding store, Western apparel store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 94340 46137,N/A,4.6,,"Mabella mansion 2nd floor Near momo gali S.S.Market (hong kong market, Siliguri, West Bengal 734001","Ward 11, Hakim Para",26.7154556,88.4241328,ChIJATbHEGtB5DkRgR8rpMB6COE,https://www.google.com/maps/place/?q=place_id:ChIJATbHEGtB5DkRgR8rpMB6COE,part_330,2026-09-20 20:17:20,1051
Shola Ghar,Bridal Wear and Wedding Collection,Bridal shop,Bridal shop,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 92394 55771,https://www.sholaghar.com/,4.9,,"1st floor, Dutta Bhawan, Hill Cart Rd, opp. Meghdoot cinema hall, Ward 6, Siliguri, West Bengal 734001",Ward 6,26.7129944,88.4244988,ChIJezJ9HmZB5DkRCeqCYLIkdC8,https://www.google.com/maps/place/?q=place_id:ChIJezJ9HmZB5DkRCeqCYLIkdC8,part_330,2026-09-20 20:17:20,1052
Reevko,Bridal Wear and Wedding Collection,Western apparel store,"Western apparel store, Beach clothing store, Clothing store, Full dress rental service, Plus Size Clothing Store, Swimwear store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 94340 44042,http://www.reevko.com/,4.7,,"Shelcon plaza, Sevoke Rd, behind Samaira, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Ward 10, Janta Nagar",26.725586399999997,88.4287489,ChIJs97NqftB5DkR9Be2gHMU0CY,https://www.google.com/maps/place/?q=place_id:ChIJs97NqftB5DkR9Be2gHMU0CY,part_330,2026-09-20 20:17:20,1053
RANGREZ STUDIO,Bridal Wear and Wedding Collection,Clothing store,Clothing store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 90641 32372,http://www.rangrezstudio.in/,4.8,,"2467, Ground Floor, Sevoke Rd, opp. Planet Mall, Ward 42, Prakash Nagar, Siliguri, West Bengal 734008","Ward 42, Prakash Nagar",26.7599514,88.43839129999999,ChIJF9ZBVldB5DkRWy7ECEz4TQM,https://www.google.com/maps/place/?q=place_id:ChIJF9ZBVldB5DkRWy7ECEz4TQM,part_330,2026-09-20 20:17:20,1054
3M Fashion - Wedding Collection Bridal Wear Lehenga Choli Indo Western Chaniya Choli Pre Wedding Gown on hire on rent,Bridal Wear and Wedding Collection,Bridal shop,"Bridal shop, Wedding dress rental service, Clothing store, Costume rental service, Designer Clothing Store, Fashion designer, Wedding service, Wedding store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98339 89897,http://www.3mfashion.in/,4.9,,"Shop No. 8, Vikram Apartments, New, Kasturi Park, Maneklal Estate, Ghatkopar West, Mumbai, Maharashtra 400086","Kasturi Park, Maneklal Estate, Ghatkopar West",19.0881216,72.9023668,ChIJW0otpwfB5zsRqWdNtqQxQuE,https://www.google.com/maps/place/?q=place_id:ChIJW0otpwfB5zsRqWdNtqQxQuE,part_330,2026-09-20 20:17:21,1055
Samaira,Bridal Wear and Wedding Collection,Women's clothing store,Women's clothing store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98324 25900,N/A,3.7,,"1st Floor, Shelcon Plaza, Sevoke Rd, Ward 13, Punjabi Para, Siliguri, West Bengal 734001","Ward 13, Punjabi Para",26.7255868,88.42861219999999,ChIJ0_9CuxFB5DkR1KRjSx_V_-Q,https://www.google.com/maps/place/?q=place_id:ChIJ0_9CuxFB5DkR1KRjSx_V_-Q,part_330,2026-09-20 20:17:21,1056
Royal Wedding,Bridal Wear and Wedding Collection,Event management company,"Event management company, Wedding photographer, Wedding planner, Wedding venue",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 95632 47127,https://www.facebook.com/royalweddingcob,4.8,,"Raj Rajendra Narayan Rd, Puratan Post Office Para, Cooch Behar, West Bengal 736101",Puratan Post Office Para,26.328394199999998,89.44410049999999,ChIJp8JqdbT_4jkRG8izYLn_bfQ,https://www.google.com/maps/place/?q=place_id:ChIJp8JqdbT_4jkRG8izYLn_bfQ,part_330,2026-09-20 20:18:05,5965
Eventive An Event Management Company,Bridal Wear and Wedding Collection,Event management company,"Event management company, Event planner, Event venue",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 89067 91929,N/A,4.9,,"Mantu Das Gupta Pally Word No 01, Cooch Behar, West Bengal 736101",736101,26.332302799999997,89.44434369999999,ChIJD-hJu3z_4jkRkQ4gNLPYI_k,https://www.google.com/maps/place/?q=place_id:ChIJD-hJu3z_4jkRkQ4gNLPYI_k,part_330,2026-09-20 20:18:05,5966
GUPTA COLOR STUDIO,Bridal Wear and Wedding Collection,Photo lab,"Photo lab, Digital printing service, Insurance company, Passport photo processor, Photo Restoration Shop, Photography service, Photography studio, Video store, Wedding photographer, Wedding Portrait Studio",736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 95636 67330,https://sites.google.com/view/gupta-color-studio,5.0,,"Ward Number 20, Rup Narayan Rd, near Kotwali P.S, Morapora, Cooch Behar, West Bengal 736101",Morapora,26.3239976,89.4500352,ChIJ45EAgK3_4jkRRz3Nl45kzmY,https://www.google.com/maps/place/?q=place_id:ChIJ45EAgK3_4jkRRz3Nl45kzmY,part_330,2026-09-20 20:18:05,5967
Antara’s Makeup & Nail Studio (COOCH BEHAR),Bridal Wear and Wedding Collection,Make-up artist,Make-up artist,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 73190 77544,N/A,4.9,,"East Khagrabari, Near: Bhabon Salboni, West Bengal 736101",736101,26.3399857,89.4587468,ChIJh7MZmmT_4jkRv7vjVcTyRb8,https://www.google.com/maps/place/?q=place_id:ChIJh7MZmmT_4jkRv7vjVcTyRb8,part_330,2026-09-20 20:18:05,5968
Wonderful Dresses,Bridal Wear and Wedding Collection,Clothing store,Clothing store,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",N/A,N/A,3.9,12.0,"8C8X+F6P, Ghosh Para, Cooch Behar, West Bengal 736101",Ghosh Para,26.3162038,89.44809219999999,ChIJa83xtCX84jkRb8FQ4nsbRZE,https://www.google.com/maps/place/?q=place_id:ChIJa83xtCX84jkRb8FQ4nsbRZE,part_330,2026-09-20 20:18:07,5969
