business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Laxmi Narayan Chemicals,Chemical Wholesalers,Fertilizer Store,"Fertilizer Store, Agricultural Product Wholesaler",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 90649 43769,N/A,5.0,,"Temple St, Nutan Para, Jalpaiguri, West Bengal 735101",Nutan Para,26.523861,88.7256378,ChIJh-XvOAN55DkR7S_hJ-JhRC0,https://www.google.com/maps/place/?q=place_id:ChIJh-XvOAN55DkR7S_hJ-JhRC0,part_330,2026-09-20 20:17:49,4433
ELHAN EMPIRE,Chemical Wholesalers,Industrial chemicals wholesaler,Industrial chemicals wholesaler,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98515 52827,N/A,,,"Deshbandhu Para, Silpasamiti Para, Jalpaiguri, West Bengal 735101","Deshbandhu Para, Silpasamiti Para",26.5321525,88.7114656,ChIJdYlYhMZ55DkRHf0ZFzDWO9k,https://www.google.com/maps/place/?q=place_id:ChIJdYlYhMZ55DkRHf0ZFzDWO9k,part_330,2026-09-20 20:17:49,4434
The Shantech Chemicals & Allieds,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 94340 44133,https://www.boomshaktiwala.com/,3.2,13.0,"Ground Floor, 55/1, Mangal Pandey Sarni, Ward 38, East Vivekananda Pally, Hakim Para, Siliguri, West Bengal 734006","Ward 38, East Vivekananda Pally, Hakim Para",26.7159735,88.4367335,ChIJqUNHlXRB5DkRNQdXferjaB8,https://www.google.com/maps/place/?q=place_id:ChIJqUNHlXRB5DkRNQdXferjaB8,part_330,2026-09-20 20:17:51,4435
Manjushree Enterprise Chemicals Siliguri,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 98320 67812,N/A,5.0,1.0,"Complex, Hill Cart Rd, behind Jeevan Jyoti Medical shop, Ward 6, Mahananda Para, Siliguri, West Bengal 734001","Ward 6, Mahananda Para",26.7144706,88.4229277,ChIJjS3v2ptB5DkR1e6ZUsxsB6s,https://www.google.com/maps/place/?q=place_id:ChIJjS3v2ptB5DkR1e6ZUsxsB6s,part_330,2026-09-20 20:17:51,4436
D S Enterprise,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 73082 20492,http://dsenterprise.net.in/,4.9,23.0,"207, Hengrabari Rd, opposite Assam Gyan Vikas Vidyalaya, Near L.P. School, Lichubagan, Hengrabari, Guwahati, Assam 781036","Near L.P. School, Lichubagan, Hengrabari",26.1507409,91.79708199999999,ChIJRcmxEOdYWjcRcdH0UmMf8v0,https://www.google.com/maps/place/?q=place_id:ChIJRcmxEOdYWjcRcdH0UmMf8v0,part_330,2026-09-20 20:17:51,4437
S. B. Agency,Chemical Wholesalers,Chemical wholesaler,"Chemical wholesaler, Fertilizer Store, Supplier, Store",735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 89000 03900,https://sbagency.co.in/,4.5,26.0,"Church Rd, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Ward 10, Janta Nagar",26.718979299999997,88.4215277,ChIJyXtsIxVB5DkRa43woSF8xM4,https://www.google.com/maps/place/?q=place_id:ChIJyXtsIxVB5DkRa43woSF8xM4,part_330,2026-09-20 20:17:51,4438
SHAW FERTILIZERS,Chemical Wholesalers,Chemical Wholesalers,Chemical Wholesalers,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",N/A,N/A,4.0,4.0,"Patkata Colony, Jalpaiguri, West Bengal 735102",Patkata Colony,26.536342899999998,88.6739114,ChIJRR7pxaB75DkRbYSXBa_ACh8,https://www.google.com/maps/place/?q=place_id:ChIJRR7pxaB75DkRbYSXBa_ACh8,part_330,2026-09-20 20:17:51,4439
Gcs Global Pvt Ltd,Chemical Wholesalers,Store,Store,735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO",+91 94341 71623,N/A,5.0,1.0,"177, Bidhan Market Rd, near SILIGURI ARMY STORES, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Ward 11, Hakim Para",26.717894299999998,88.42551999999999,ChIJE7zDohRB5DkRdigah7RKpv0,https://www.google.com/maps/place/?q=place_id:ChIJE7zDohRB5DkRdigah7RKpv0,part_330,2026-09-20 20:17:51,4440
JOY MAA KALI FERTILIZER,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 96099 67635,N/A,,,"NBSTC BUS STAND, OPP:, Keshab Rd, Cooch Behar, West Bengal 736101",736101,26.3305603,89.4433914,ChIJfwR1CKz_4jkR7C_H8VMZbm0,https://www.google.com/maps/place/?q=place_id:ChIJfwR1CKz_4jkR7C_H8VMZbm0,part_330,2026-09-20 20:18:34,8547
Echem Corp,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO",+91 98300 31351,https://echemcorp.in/,4.8,,"Ste 1051, North Wing, 32, Ezra St, Chitpur, Barabazar Market, Kolkata, West Bengal 700001","Chitpur, Barabazar Market",22.575243999999998,88.353055,ChIJd8WUQbRwAjoR7mSohTxz29k,https://www.google.com/maps/place/?q=place_id:ChIJd8WUQbRwAjoR7mSohTxz29k,part_330,2026-09-20 20:18:35,8548
