business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Deepika's World,Trousseau Home Decor,Gift basket store,Gift basket store,721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 96353 56551,N/A,5.0,36.0,"Zonal Center, Jadabendra Panja Ave, Khudiram Colony, Y-1, Sagarbhanga, Durgapur, West Bengal 713211","Khudiram Colony, Y-1, Sagarbhanga",23.4971674,87.32848949999999,ChIJXey1UC5x9zkRd9SDWKduoKo,https://www.google.com/maps/place/?q=place_id:ChIJXey1UC5x9zkRd9SDWKduoKo,part_322,2026-09-20 20:17:40,4382
La Decora,Trousseau Home Decor,Shopping mall,"Shopping mall, Artificial plant supplier, Bedding store, Furniture store, Gift shop, Household goods wholesaler, Office furniture store, Toy store",721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO",+91 74777 17117,http://www.ladecora.co.in/,4.8,,"D.V.C. More, Grand Trunk Rd, Ghordour Chatti, Kanainatshal P, Bardhaman, West Bengal 713103",Ghordour Chatti,23.2211189,87.8843083,ChIJ_RbmCwBJ-DkRwpLKQ4coKrI,https://www.google.com/maps/place/?q=place_id:ChIJ_RbmCwBJ-DkRwpLKQ4coKrI,part_322,2026-09-20 20:17:41,4383
Trousseau & Trinkets,Trousseau Home Decor,Event planner,Event planner,721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO",+91 89104 46923,N/A,5.0,19.0,"122, Jadavgarh Colony, Haltu, Kolkata, West Bengal 700078","Jadavgarh Colony, Haltu",22.5078256,88.379716,ChIJ_YIdib1xAjoRGSVSk9hF53Y,https://www.google.com/maps/place/?q=place_id:ChIJ_YIdib1xAjoRGSVSk9hF53Y,part_322,2026-09-20 20:19:04,11056
Trousseau Packing Services,Trousseau Home Decor,Store,Store,721222,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharar SO West Midnapore, Agar BO, Dandipur BO",N/A,N/A,5.0,1.0,"No 10, West Punjabi Bagh, Punjabi Bagh, New Delhi, Delhi, 110026","West Punjabi Bagh, Punjabi Bagh",28.665726,77.1194496,ChIJGepEK5kDDTkRStC5Ny5k2HA,https://www.google.com/maps/place/?q=place_id:ChIJGepEK5kDDTkRStC5Ny5k2HA,part_322,2026-09-20 20:19:44,12379
Trays & Trousseau,Trousseau Home Decor,Gift shop,Gift shop,721222,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharar SO West Midnapore, Agar BO, Dandipur BO",N/A,N/A,,,"Wood kraze, 15/62, C/o, Jawahar Nagar, Raipur, Chhattisgarh 492001",Jawahar Nagar,21.2462505,81.6312987,ChIJRTOhGgDdKDoRIP7h9xCVJjE,https://www.google.com/maps/place/?q=place_id:ChIJRTOhGgDdKDoRIP7h9xCVJjE,part_322,2026-09-20 20:19:44,12380
ZenX AllWayZ Events,Trousseau Home Decor,Event management company,Event management company,721232,West Bengal Circle,South Bengal Region,Midnapore Division,"Khirpai SO, Alui BO, Chaklachipur BO",+91 62919 99486,http://zenxallwayzevents.com/,,,"2a, Nitya Ghosh St, Watgunge, Watganj, Kolkata, West Bengal 700023","Watgunge, Watganj",22.543715799999998,88.3254738,ChIJ5UDku2F3AjoRpDbE88Prv-8,https://www.google.com/maps/place/?q=place_id:ChIJ5UDku2F3AjoRpDbE88Prv-8,part_322,2026-09-20 20:20:26,13252
Bharat Sevashram Sangha/Milan Marriage Hall/Mahamilan,Trousseau Home Decor,Banquet hall,"Banquet hall, Non-profit organization, Wedding venue",721232,West Bengal Circle,South Bengal Region,Midnapore Division,"Khirpai SO, Alui BO, Chaklachipur BO",+91 96935 07668,http://thecitygarden.in/,4.2,809.0,"M5C3+9QG, Sector 4, Bokaro Steel City, Jharkhand 827004",Sector 4,23.670944799999997,86.1544445,ChIJzfQNgUoi9DkRC7JAIS_ecgg,https://www.google.com/maps/place/?q=place_id:ChIJzfQNgUoi9DkRC7JAIS_ecgg,part_322,2026-09-20 20:20:26,13253
Rhea Tray Decoration / রীয়া তত্ত্ব ডেকোরেশন,Trousseau Home Decor,Wedding service,"Wedding service, Wedding planner",721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO",+91 84789 85838,https://www.facebook.com/rhea.tatwa.decoration.7,4.8,149.0,"34/1, Umesh Mukherjee Rd, Satero Pally, Adarsha Pally, Belghoria, Kolkata, West Bengal 700056","Satero Pally, Adarsha Pally, Belghoria",22.6648459,88.3854757,ChIJoekGSc6d-DkRT-EkZ4Ro1PQ,https://www.google.com/maps/place/?q=place_id:ChIJoekGSc6d-DkRT-EkZ4Ro1PQ,part_322,2026-09-20 20:21:06,15609
Aakar by Reena Agrawal,Trousseau Home Decor,Event planner,Event planner,721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO",+91 98310 72734,N/A,4.7,64.0,"Nilachal apartment, B/4, Canal St, Sreebhumi, Lake Town, Kolkata, South Dumdum, West Bengal 700048","Sreebhumi, Lake Town",22.599577,88.4048438,ChIJKTREMeN1AjoRjHx_hdCBJPM,https://www.google.com/maps/place/?q=place_id:ChIJKTREMeN1AjoRjHx_hdCBJPM,part_322,2026-09-20 20:21:06,15610
Tray Decoration,Trousseau Home Decor,Wedding service,Wedding service,721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO",+91 84449 02955,https://natheventmanagement.odoo.com/gallery,4.9,14.0,"540/20, Bombai Bagan Rd, Satin Sen Pally, Sarsuna, Kolkata, West Bengal 700061","Satin Sen Pally, Sarsuna",22.482753799999998,88.29548249999999,ChIJdfL1gYV7AjoRCV3NJyxq1mk,https://www.google.com/maps/place/?q=place_id:ChIJdfL1gYV7AjoRCV3NJyxq1mk,part_322,2026-09-20 20:21:06,15611
