business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Grocery Shop,Provision Store,General store,General store,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 89459 28549,N/A,,,"Grosery Shop, jorpakhri, Banshgaon, West Bengal 734434",jorpakhri,26.501147999999997,88.3163096,ChIJvzOjB8pX5DkRYFa8VdzIelQ,https://www.google.com/maps/place/?q=place_id:ChIJvzOjB8pX5DkRYFa8VdzIelQ,part_329,2026-09-20 20:17:10
Chandrika Stores,Provision Store,General store,General store,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 75840 17397,N/A,5.0,1.0,"Pradhan Niwash, Jote, Mahipal, Fulbar, West Bengal 734426",Jote,26.5873006,88.3133589,ChIJOXoEdTNb5DkRasdvOTjw5aQ,https://www.google.com/maps/place/?q=place_id:ChIJOXoEdTNb5DkRasdvOTjw5aQ,part_329,2026-09-20 20:17:10
Grocery Store,Provision Store,Grocery store,Grocery store,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,,,"Phansidewa Rd, Bandar Gachh, Phansidewa, West Bengal 734434",734434,26.5882594,88.371297,ChIJ50ljda5b5DkR5LmCLP3vFXw,https://www.google.com/maps/place/?q=place_id:ChIJ50ljda5b5DkR5LmCLP3vFXw,part_329,2026-09-20 20:17:10
Renuka Variety Stores,Provision Store,General store,General store,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 95932 87548,N/A,4.3,6.0,"Rangapani, Bajar, Bagdogra, West Bengal 734434",734434,26.657771999999998,88.369483,ChIJQcPcg_dF5DkRV6F7dl979jM,https://www.google.com/maps/place/?q=place_id:ChIJQcPcg_dF5DkRV6F7dl979jM,part_329,2026-09-20 20:17:10
Hills Grocery,Provision Store,Supermarket,Supermarket,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 90469 48524,N/A,4.6,56.0,"Mirik Thana line ward no. 3, West Bengal 734214",734434,26.8948201,88.18021019999999,ChIJ_Wc4d3Qz5DkRgiaKO4l8IAk,https://www.google.com/maps/place/?q=place_id:ChIJ_Wc4d3Qz5DkRgiaKO4l8IAk,part_329,2026-09-20 20:17:10
GUJRAT PROVISION STORE,Provision Store,Grocery delivery service,"Grocery delivery service, Indian grocery store",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 98310 78457,N/A,3.8,23.0,"31 Ashutosh Mukherjee Road, 104/105 Jadu Babu Bazar, Kolkata, West Bengal 700020","Jadubabur Bazar, Bhowanipore",22.5338922,88.3464769,ChIJzeXHMjl3AjoRiyvgw-jmiog,https://www.google.com/maps/place/?q=place_id:ChIJzeXHMjl3AjoRiyvgw-jmiog,part_329,2026-09-20 20:17:10
maa jagadhatri store,Provision Store,Grocery store,Grocery store,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 99337 58025,N/A,4.5,11.0,"Bolpur Palitpur Road, Nichupatty, Bolpur, West Bengal 731204",Nichupatty,23.6593891,87.70652079999999,ChIJu_BCleDD-TkRPFVcznX9nxU,https://www.google.com/maps/place/?q=place_id:ChIJu_BCleDD-TkRPFVcznX9nxU,part_329,2026-09-20 20:17:10
Lokenath Variety Stores,Provision Store,Grocery store,Grocery store,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,N/A,4.8,47.0,"HCXW+6XP, Sulonguri Rd, Sulanggari, Hatiara, Newtown, Kolkata, West Bengal 700162","Sulanggari, Hatiara, Newtown",22.5980658,88.4473933,ChIJ47ld_3F1AjoRJy4ndZ68KF8,https://www.google.com/maps/place/?q=place_id:ChIJ47ld_3F1AjoRJy4ndZ68KF8,part_329,2026-09-20 20:17:10
Pratidin Stores,Provision Store,General store,General store,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 98754 21408,N/A,5.0,251.0,"22/136, Raja Manindra Road, Belgachia Rd, near Park, Dutta Bagan, Paikpara, Kolkata, West Bengal 700037","Dutta Bagan, Paikpara",22.6122656,88.3924237,ChIJIUaTBfid-DkRpimyn9-LxRU,https://www.google.com/maps/place/?q=place_id:ChIJIUaTBfid-DkRpimyn9-LxRU,part_329,2026-09-20 20:17:10
Arambagh's Foodmart (Raghunathpur),Provision Store,Convenience store,Convenience store,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",N/A,https://www.arambaghfoodmart.com/,4.8,34.0,"JCCH+C39, Block A, Raghunathpur, Arjunpur, Baguiati, Kolkata, West Bengal 700059","Block A, Raghunathpur, Arjunpur, Baguiati",22.6210628,88.4277044,ChIJNyCyQ_Sf-DkRi_njV0VHh8g,https://www.google.com/maps/place/?q=place_id:ChIJNyCyQ_Sf-DkRi_njV0VHh8g,part_329,2026-09-20 20:17:10
KiranaSquare,Provision Store,Grocery store,Grocery store,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 80177 73031,N/A,4.3,174.0,"2, Rowland Rd, Rowland Row, Ballygunge, Kolkata, West Bengal 700020","Rowland Row, Ballygunge",22.5364899,88.3559464,ChIJMxjt9DZ3AjoRVDwlnJRhHUw,https://www.google.com/maps/place/?q=place_id:ChIJMxjt9DZ3AjoRVDwlnJRhHUw,part_329,2026-09-20 20:17:10
Dakshin Stores,Provision Store,General store,General store,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 98365 42552,N/A,4.9,33.0,"21A, Lake Road, Kavi Bharati Sarani, Rash Behari Ave, opposite Charuchandra College, Lake Market, Kalighat, Kolkata, West Bengal 700029","Lake Market, Kalighat",22.5156584,88.3508557,ChIJDUBuNSJxAjoRaEHvlnwzzKI,https://www.google.com/maps/place/?q=place_id:ChIJDUBuNSJxAjoRaEHvlnwzzKI,part_329,2026-09-20 20:17:10
RADHA GOBINDA BHANDAR,Provision Store,General store,General store,734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 99033 36002,N/A,5.0,4.0,"Ps, near Sani Mandir, Block B, Kalyani, Majherchar, West Bengal 741251",Block B,22.9826071,88.4217961,ChIJL7mXqMqV-DkRveMA51b08Gk,https://www.google.com/maps/place/?q=place_id:ChIJL7mXqMqV-DkRveMA51b08Gk,part_329,2026-09-20 20:17:10
Kritika Variety Stores,Provision Store,General store,"General store, Baking supply store, Dry Fruit Store, Spice store",734434,West Bengal Circle,North Bengal Region,Darjeeling Division,"Phansidewa SO, Hardigachh BO, Kantivitta BO",+91 80130 65720,N/A,4.8,6.0,"Barrackpore - Barasat Rd, Nona Chandanpukur, Anandapuri, Kolkata, Barrackpore, West Bengal 700122","Nona Chandanpukur, Anandapuri",22.7666655,88.3775184,ChIJya91BCyb-DkR8fjJnmVltBo,https://www.google.com/maps/place/?q=place_id:ChIJya91BCyb-DkR8fjJnmVltBo,part_329,2026-09-20 20:17:10
