business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ms Niyati Automobiles,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 90641 34636,N/A,4.8,,"Suri - Dubrajpur Rd, RabindraPally, Suri, West Bengal 731101",RabindraPally,23.896037,87.52575259999999,ChIJKyikWF5Z9zkRUGs4FpvwdFg,https://www.google.com/maps/place/?q=place_id:ChIJKyikWF5Z9zkRUGs4FpvwdFg,part_326,2026-09-20 20:17:19
Pandit Motor Garrage,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 97322 92090,N/A,3.8,,"Jatri bazar, Rajnagar, West Bengal 731130",731126,23.946632899999997,87.307266,ChIJTUCG0odP9zkRSac5-GxPG_s,https://www.google.com/maps/place/?q=place_id:ChIJTUCG0odP9zkRSac5-GxPG_s,part_326,2026-09-20 20:17:19
New Life Auto,Two Wheeler Repair and Mechanic,Motorcycle parts store,Motorcycle parts store,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 62940 59911,N/A,5.0,,"Dangal Para, Suri, West Bengal 731101",Dangal Para,23.9059833,87.5262553,ChIJexKsSQBZ9zkRliytcnkOgGY,https://www.google.com/maps/place/?q=place_id:ChIJexKsSQBZ9zkRliytcnkOgGY,part_326,2026-09-20 20:17:19
International Hero Service Center,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,3.9,,"Unnamed Road, Suri, West Bengal 731103",731126,23.898283499999998,87.5128108,ChIJIQGjT3pZ9zkRiGbbUSwsSUc,https://www.google.com/maps/place/?q=place_id:ChIJIQGjT3pZ9zkRiGbbUSwsSUc,part_326,2026-09-20 20:17:19
Royal Enfield Service Center - Birbhum Riders,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 91676 23970,https://www.royalenfield.com/?utm_source=GMBlisting&utm_medium=organic,4.9,,"Ward No 15, NH 60, Plot No 1782, JL No 103, Suri, West Bengal 731103",731126,23.8989218,87.5153296,ChIJxVktrxBZ9zkRWrocOccJxSU,https://www.google.com/maps/place/?q=place_id:ChIJxVktrxBZ9zkRWrocOccJxSU,part_326,2026-09-20 20:17:19
Arman BiKe Point,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",+91 73640 18213,N/A,,,"Ranishwar,Amjora,Road, Jharkhand 814144",731126,24.027136199999998,87.42209989999999,ChIJ-VbuwINR9zkRwhm7DhMPDkY,https://www.google.com/maps/place/?q=place_id:ChIJ-VbuwINR9zkRwhm7DhMPDkY,part_326,2026-09-20 20:17:19
SAHABAZIA WORKSHOP,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,5.0,,"X828+53V, Rajnagar, West Bengal 731130",731126,23.9504521,87.3146531,ChIJDzNenHlP9zkRH0oW8Slshvc,https://www.google.com/maps/place/?q=place_id:ChIJDzNenHlP9zkRH0oW8Slshvc,part_326,2026-09-20 20:17:19
Mondal Cycle & Telecom,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,3.5,,"WFM7+3F3, Nagari, West Bengal 731126",731126,23.9326786,87.4636853,ChIJeZhSQgBZ9zkRQ2mGvynnsnc,https://www.google.com/maps/place/?q=place_id:ChIJeZhSQgBZ9zkRQ2mGvynnsnc,part_326,2026-09-20 20:17:19
Garai Auto Bike Service,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,,,"WG77+QJ6, Suri, West Bengal 731103",731126,23.914568199999998,87.5134326,ChIJbby8UgBZ9zkRXD52J54rrgA,https://www.google.com/maps/place/?q=place_id:ChIJbby8UgBZ9zkRXD52J54rrgA,part_326,2026-09-20 20:17:19
Ruhi Service Center,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO",N/A,N/A,3.5,,"Raniganj - Suri Rd, Bangaon, West Bengal 731104",731126,23.828239099999998,87.4622615,ChIJ55402Ktf9zkRTyrAXm1qNoI,https://www.google.com/maps/place/?q=place_id:ChIJ55402Ktf9zkRTyrAXm1qNoI,part_326,2026-09-20 20:17:19
